type,time,latitude,longitude,altitude (m),speed (km/h),course,slope (%),distance (km),distance_interval (m),color,opacity,width,name,desc,activity
T,2022-03-12 21:16:38,-33.601166000,-70.520013280,781.8,0.8,5.3,,0.000,,#0000ff,1.00,4,12 mar. 2022 6:16:35 p. m.,<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>comment</b></td><td></td></tr><tr><td><b>activity</b></td><td>0</td></tr></table>,0
T,2022-03-12 21:17:01,-33.601177850,-70.520142250,781.4,1.9,4.7,-2.9,0.012,12.04,,,,,,
T,2022-03-12 21:17:04,-33.601164870,-70.520264970,781.2,13.8,4.7,-2.2,0.024,11.48,,,,,,
T,2022-03-12 21:17:06,-33.601163500,-70.520397150,780.9,22.1,4.7,-2.6,0.036,12.27,,,,,,
T,2022-03-12 21:17:08,-33.601173700,-70.520544380,780.5,24.7,4.6,-2.8,0.050,13.71,,,,,,
T,2022-03-12 21:17:10,-33.601175380,-70.520727400,780.0,30.6,4.7,-2.6,0.066,16.99,,,,,,
T,2022-03-12 21:17:12,-33.601159120,-70.520932800,779.5,34.5,4.7,-2.8,0.086,19.15,,,,,,
T,2022-03-12 21:17:13,-33.601156250,-70.521044220,779.1,37.2,4.7,-3.6,0.096,10.35,,,,,,
T,2022-03-12 21:17:14,-33.601160250,-70.521162980,778.7,39.7,4.7,-3.7,0.107,11.03,,,,,,
T,2022-03-12 21:17:15,-33.601166100,-70.521288770,778.3,42.1,4.7,-3.7,0.119,11.69,,,,,,
T,2022-03-12 21:17:16,-33.601172800,-70.521421070,777.8,44.3,4.7,-3.7,0.131,12.30,,,,,,
T,2022-03-12 21:17:17,-33.601174570,-70.521553100,777.4,44.1,4.7,-3.6,0.143,12.26,,,,,,
T,2022-03-12 21:17:18,-33.601176170,-70.521679500,777.0,42.2,4.7,-3.3,0.155,11.73,,,,,,
T,2022-03-12 21:17:19,-33.601183530,-70.521816220,776.8,45.8,4.7,-1.1,0.168,12.72,,,,,,
T,2022-03-12 21:17:20,-33.601187100,-70.521956820,776.7,47.0,4.7,-1.1,0.181,13.06,,,,,,
T,2022-03-12 21:17:21,-33.601194620,-70.522099150,776.5,47.7,4.7,-1.2,0.194,13.24,,,,,,
T,2022-03-12 21:17:22,-33.601206230,-70.522250220,776.4,50.7,4.7,-1.3,0.208,14.08,,,,,,
T,2022-03-12 21:17:23,-33.601210070,-70.522405870,776.2,52.0,4.7,-1.2,0.223,14.45,,,,,,
T,2022-03-12 21:17:24,-33.601206900,-70.522564270,776.2,52.9,4.7,0.3,0.237,14.71,,,,,,
T,2022-03-12 21:17:25,-33.601222650,-70.522738100,776.6,58.4,4.7,1.9,0.253,16.23,,,,,,
T,2022-03-12 21:17:26,-33.601228580,-70.522896180,776.9,52.9,4.7,2.0,0.268,14.69,,,,,,
T,2022-03-12 21:17:27,-33.601225920,-70.523085330,777.3,63.2,4.7,2.3,0.286,17.56,,,,,,
T,2022-03-12 21:17:28,-33.601232250,-70.523275800,777.6,63.7,4.6,1.8,0.303,17.69,,,,,,
T,2022-03-12 21:17:29,-33.601241620,-70.523458970,777.4,61.3,4.7,-1.2,0.320,17.03,,,,,,
T,2022-03-12 21:17:30,-33.601261100,-70.523650820,776.8,64.6,4.7,-3.1,0.338,17.94,,,,,,
T,2022-03-12 21:17:31,-33.601280980,-70.523844030,776.2,65.0,4.7,-3.2,0.356,18.07,,,,,,
T,2022-03-12 21:17:32,-33.601277550,-70.524039180,775.9,65.2,4.7,-1.8,0.375,18.12,,,,,,
T,2022-03-12 21:17:33,-33.601288170,-70.524241030,775.6,67.6,4.7,-1.8,0.393,18.77,,,,,,
T,2022-03-12 21:17:34,-33.601292670,-70.524462480,775.6,74.0,4.7,0.0,0.414,20.56,,,,,,
T,2022-03-12 21:17:35,-33.601302370,-70.524664180,775.5,67.5,4.7,-0.5,0.433,18.75,,,,,,
T,2022-03-12 21:17:36,-33.601318550,-70.524862570,775.3,66.6,4.7,-1.2,0.451,18.50,,,,,,
T,2022-03-12 21:17:37,-33.601340270,-70.525065730,774.8,68.4,4.7,-2.6,0.470,19.01,,,,,,
T,2022-03-12 21:17:38,-33.601347450,-70.525249720,774.3,61.5,4.7,-2.7,0.487,17.10,,,,,,
T,2022-03-12 21:17:39,-33.601353130,-70.525426850,773.9,59.2,4.7,-2.5,0.504,16.45,,,,,,
T,2022-03-12 21:17:40,-33.601357180,-70.525585050,773.5,52.9,4.7,-2.3,0.518,14.69,,,,,,
T,2022-03-12 21:17:41,-33.601365570,-70.525754850,773.1,56.8,4.6,-2.6,0.534,15.79,,,,,,
T,2022-03-12 21:17:42,-33.601378870,-70.525894950,772.9,47.1,4.6,-1.5,0.547,13.09,,,,,,
T,2022-03-12 21:17:43,-33.601402430,-70.526014200,772.9,40.9,4.6,-0.5,0.559,11.37,,,,,,
T,2022-03-12 21:17:44,-33.601415750,-70.526127080,772.9,38.1,4.5,0.8,0.569,10.58,,,,,,
T,2022-03-12 21:17:45,-33.601429020,-70.526259230,773.1,44.5,4.4,1.1,0.582,12.35,,,,,,
T,2022-03-12 21:17:46,-33.601487080,-70.526371150,772.8,44.0,4.2,-2.8,0.594,12.22,,,,,,
T,2022-03-12 21:17:47,-33.601534000,-70.526467600,772.5,37.3,4.0,-1.9,0.604,10.35,,,,,,
T,2022-03-12 21:17:48,-33.601594350,-70.526556180,772.3,38.2,3.9,-2.8,0.615,10.60,,,,,,
T,2022-03-12 21:17:49,-33.601681500,-70.526614670,771.8,39.9,3.7,-4.1,0.626,11.09,,,,,,
T,2022-03-12 21:17:50,-33.601770550,-70.526655120,771.8,38.0,3.5,0.4,0.636,10.57,,,,,,
T,2022-03-12 21:17:51,-33.601872800,-70.526678100,771.8,41.5,3.3,-0.7,0.648,11.54,,,,,,
T,2022-03-12 21:17:52,-33.601986780,-70.526683580,771.6,45.5,3.2,-1.0,0.661,12.65,,,,,,
T,2022-03-12 21:17:53,-33.602113430,-70.526675770,771.5,50.6,3.1,-1.1,0.675,14.07,,,,,,
T,2022-03-12 21:17:54,-33.602217750,-70.526645820,771.4,42.8,2.9,-0.9,0.687,11.90,,,,,,
T,2022-03-12 21:17:55,-33.602308470,-70.526583170,771.4,41.8,2.7,0.2,0.698,11.62,,,,,,
T,2022-03-12 21:17:56,-33.602372430,-70.526487270,771.6,41.0,2.5,1.8,0.710,11.38,,,,,,
T,2022-03-12 21:17:57,-33.602414770,-70.526368870,772.0,43.0,2.2,3.0,0.722,11.95,,,,,,
T,2022-03-12 21:17:58,-33.602445270,-70.526229530,772.4,48.1,1.9,3.6,0.735,13.37,,,,,,
T,2022-03-12 21:17:59,-33.602438980,-70.526086100,772.9,48.0,1.9,3.2,0.748,13.33,,,,,,
T,2022-03-12 21:18:00,-33.602416870,-70.525938230,773.2,50.2,1.6,2.5,0.762,13.94,,,,,,
T,2022-03-12 21:18:01,-33.602373830,-70.525782600,773.1,54.8,1.5,-0.7,0.777,15.21,,,,,,
T,2022-03-12 21:18:02,-33.602345180,-70.525642500,772.5,48.2,1.5,-4.3,0.791,13.39,,,,,,
T,2022-03-12 21:18:03,-33.602323450,-70.525514720,772.0,43.6,1.5,-3.9,0.803,12.10,,,,,,
T,2022-03-12 21:18:04,-33.602317270,-70.525382450,771.6,44.3,1.5,-3.3,0.815,12.30,,,,,,
T,2022-03-12 21:18:05,-33.602305230,-70.525250180,771.2,44.5,1.5,-3.3,0.828,12.35,,,,,,
T,2022-03-12 21:18:06,-33.602301130,-70.525119780,770.9,43.6,1.5,-3.1,0.840,12.11,,,,,,
T,2022-03-12 21:18:07,-33.602296600,-70.524991150,770.5,43.0,1.5,-2.9,0.852,11.95,,,,,,
