type,time,latitude,longitude,altitude (m),speed (km/h),course,slope (%),distance (km),distance_interval (m),color,opacity,width,name,desc,activity
T,2022-03-12 21:07:32,-33.601158300,-70.519901480,781.8,1.9,3.1,,0.000,,#0000ff,1.00,4,12 mar. 2022 6:07:30 p. m.,<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>comment</b></td><td></td></tr><tr><td><b>activity</b></td><td>0</td></tr></table>,0
T,2022-03-12 21:09:00,-33.601148250,-70.520014020,781.8,0.4,4.7,0.0,0.011,10.50,,,,,,
T,2022-03-12 21:09:05,-33.601141380,-70.520156850,781.5,9.6,4.6,-2.4,0.024,13.28,,,,,,
T,2022-03-12 21:09:08,-33.601170530,-70.520283770,781.1,14.7,4.7,-3.4,0.036,12.22,,,,,,
T,2022-03-12 21:09:11,-33.601175500,-70.520451020,780.7,18.6,4.7,-2.7,0.052,15.53,,,,,,
T,2022-03-12 21:09:13,-33.601197320,-70.520581630,780.3,22.3,4.7,-3.2,0.064,12.36,,,,,,
T,2022-03-12 21:09:15,-33.601212700,-70.520722380,779.9,23.7,4.7,-3.0,0.077,13.17,,,,,,
T,2022-03-12 21:09:17,-33.601214850,-70.520868750,779.5,24.5,4.7,-2.8,0.091,13.59,,,,,,
T,2022-03-12 21:09:19,-33.601211620,-70.521028980,779.0,26.8,4.7,-3.3,0.106,14.88,,,,,,
T,2022-03-12 21:09:21,-33.601210380,-70.521219980,778.4,31.9,4.7,-3.4,0.123,17.73,,,,,,
T,2022-03-12 21:09:23,-33.601218830,-70.521408770,777.8,31.6,4.7,-3.5,0.141,17.55,,,,,,
T,2022-03-12 21:09:25,-33.601227850,-70.521620100,777.1,35.4,4.7,-3.4,0.160,19.64,,,,,,
T,2022-03-12 21:09:27,-33.601221300,-70.521828180,776.8,34.8,4.7,-1.7,0.180,19.33,,,,,,
T,2022-03-12 21:09:28,-33.601220930,-70.521939970,776.7,37.4,4.7,-1.2,0.190,10.38,,,,,,
T,2022-03-12 21:09:29,-33.601228030,-70.522055650,776.6,38.8,4.7,-1.3,0.201,10.77,,,,,,
T,2022-03-12 21:09:30,-33.601233480,-70.522173000,776.4,39.3,4.7,-1.3,0.212,10.91,,,,,,
T,2022-03-12 21:09:31,-33.601246520,-70.522293950,776.3,40.7,4.7,-1.4,0.223,11.32,,,,,,
T,2022-03-12 21:09:32,-33.601255070,-70.522416650,776.1,41.1,4.7,-1.4,0.235,11.43,,,,,,
T,2022-03-12 21:09:33,-33.601261850,-70.522544580,776.0,42.8,4.7,-0.4,0.246,11.90,,,,,,
T,2022-03-12 21:09:34,-33.601272780,-70.522676050,776.2,44.1,4.7,1.4,0.259,12.26,,,,,,
T,2022-03-12 21:09:35,-33.601286450,-70.522811220,776.4,45.5,4.7,1.1,0.271,12.64,,,,,,
T,2022-03-12 21:09:36,-33.601297880,-70.522944350,776.5,44.7,4.7,0.9,0.284,12.42,,,,,,
T,2022-03-12 21:09:37,-33.601301980,-70.523083450,776.6,46.5,4.7,1.2,0.297,12.92,,,,,,
T,2022-03-12 21:09:38,-33.601303750,-70.523225930,776.8,47.6,4.7,1.2,0.310,13.23,,,,,,
T,2022-03-12 21:09:39,-33.601302880,-70.523372630,776.9,49.0,4.7,0.5,0.324,13.62,,,,,,
T,2022-03-12 21:09:40,-33.601314870,-70.523532170,776.4,53.5,4.7,-2.9,0.338,14.87,,,,,,
T,2022-03-12 21:09:41,-33.601322330,-70.523692080,776.0,53.5,4.7,-2.6,0.353,14.86,,,,,,
T,2022-03-12 21:09:42,-33.601324730,-70.523850730,775.7,53.0,4.7,-2.2,0.368,14.73,,,,,,
T,2022-03-12 21:09:43,-33.601324680,-70.524007120,775.4,52.3,4.7,-2.1,0.383,14.52,,,,,,
T,2022-03-12 21:09:44,-33.601330020,-70.524166920,775.0,53.4,4.7,-2.5,0.397,14.84,,,,,,
T,2022-03-12 21:09:45,-33.601336420,-70.524330030,775.0,54.6,4.6,-0.5,0.413,15.16,,,,,,
