Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
10	01/26 14:33:20	#2401 000:00:12:27	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.81	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
11	01/26 14:33:21	#2401 000:00:12:28	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.81	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
12	01/26 14:33:22	#2401 000:00:12:29	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
13	01/26 14:33:23	#2401 000:00:12:30	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
14	01/26 14:33:24	#2401 000:00:12:31	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
15	01/26 14:33:25	#2401 000:00:12:32	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
16	01/26 14:33:26	#2401 000:00:12:33	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.86	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
17	01/26 14:33:27	#2401 000:00:12:34	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
18	01/26 14:33:28	#2401 000:00:12:35	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
19	01/26 14:33:29	#2401 000:00:12:36	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
20	01/26 14:33:30	#2401 000:00:12:37	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
21	01/26 14:33:31	#2401 000:00:12:38	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
22	01/26 14:33:32	#2401 000:00:12:39	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
23	01/26 14:33:33	#2401 000:00:12:40	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
24	01/26 14:33:34	#2401 000:00:12:41	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
25	01/26 14:33:35	#2401 000:00:12:42	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
26	01/26 14:33:36	#2401 000:00:12:43	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
27	01/26 14:33:37	#2401 000:00:12:44	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
28	01/26 14:33:38	#2401 000:00:12:45	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
