Point;Real time;Power-up time;Asrc;Alod;Apack;Vpack;SOC;DOD;Loads;BalVtg;BalCause;IoState;Flags;Bnk0;Bnk1t;Bnk2;Bnk3;Bnk4;Bnk5;Bnk6;Bnk7;Bnk8;Bnk9;Bnk10;Bnk11;Bnk12;Bnk13;Bnk14;Bnk15;CCL;CCLcause;DCL;DCLcause;WarnFlags;FltFlags;MissBanks;MissBank#;MissCells;-;Vmin;VminNo;VminAvg;Vavg;Vmax;VmaxNo;VmaxAvg;Tmin;TminNo;Tavg;Tmax;TmaxNo;Rmin;RminNo;Ravg;Rmax;RmaxNo;Rpack;Nmonit;Vmonit;Tmonit;TmonitOff;Rmonit;Smonit;Cell 0;Cell 1;Cell 2;Cell 3;Cell 4;Cell 5;Cell 6;Cell 7;Cell 8;Cell 9;Cell 10;Cell 11;Cell 12;Cell 13;Cell 14;Cell 15;Cell 16;Cell 17;Cell 18;Cell 19;Cell 20;Cell 21;Cell 22;Cell 23;Cell 24;Cell 25;Cell 26;Cell 27
10;1/1/2026 15:19;#2401 000:00:58:52;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;20;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.78;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.78;3.78;3.78
11;1/1/2026 15:19;#2401 000:00:58:53;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;20;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
12;1/1/2026 15:19;#2401 000:00:58:54;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
13;1/1/2026 15:19;#2401 000:00:58:55;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
14;1/1/2026 15:19;#2401 000:00:58:56;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;24;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.78;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.81;3.75;3.78;3.78
15;1/1/2026 15:19;#2401 000:00:58:57;0;0.5;0.5;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;24;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
16;1/1/2026 15:19;#2401 000:00:58:58;0;1.2;1.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
17;1/1/2026 15:19;#2401 000:00:58:59;0;2;2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.75;3.75;3.78;3.78
18;1/1/2026 15:19;#2401 000:00:59:00;0;3.6;3.6;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.75;3.75;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
19;1/1/2026 15:19;#2401 000:00:59:01;0;4.5;4.5;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.78;3.75;3.75;3.75;3.78;3.81;3.78;3.78;3.75;3.78;3.78
20;1/1/2026 15:19;#2401 000:00:59:02;0;4.2;4.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.75;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
21;1/1/2026 15:19;#2401 000:00:59:03;0;2.7;2.7;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.75;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.78;3.81;3.78;3.78;3.75;3.78;3.78
22;1/1/2026 15:19;#2401 000:00:59:04;0;2.6;2.6;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
23;1/1/2026 15:19;#2401 000:00:59:05;0;2.5;2.5;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.75;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
24;1/1/2026 15:20;#2401 000:00:59:06;0;3.2;3.2;105.8;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.75;3.75;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.75;3.75;3.78;3.78
25;1/1/2026 15:20;#2401 000:00:59:07;0;4;4;105.8;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.75;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.78;3.81;3.78;3.75;3.75;3.78;3.78
26;1/1/2026 15:20;#2401 000:00:59:08;0;4.2;4.2;105.8;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.75;3.75;3.78;3.78;3.81;3.81;3.75;3.75;3.78;3.75;3.75;3.75;3.78;3.81;3.75;3.78;3.75;3.78;3.78
