Point;Real time;Power-up time;Asrc;Alod;Apack;Vpack;SOC;DOD;Loads;BalVtg;BalCause;IoState;Flags;Bnk0;Bnk1t;Bnk2;Bnk3;Bnk4;Bnk5;Bnk6;Bnk7;Bnk8;Bnk9;Bnk10;Bnk11;Bnk12;Bnk13;Bnk14;Bnk15;CCL;CCLcause;DCL;DCLcause;WarnFlags;FltFlags;MissBanks;MissBank#;MissCells;-;Vmin;VminNo;VminAvg;Vavg;Vmax;VmaxNo;VmaxAvg;Tmin;TminNo;Tavg;Tmax;TmaxNo;Rmin;RminNo;Ravg;Rmax;RmaxNo;Rpack;Nmonit;Vmonit;Tmonit;TmonitOff;Rmonit;Smonit;Cell 0;Cell 1;Cell 2;Cell 3;Cell 4;Cell 5;Cell 6;Cell 7;Cell 8;Cell 9;Cell 10;Cell 11;Cell 12;Cell 13;Cell 14;Cell 15;Cell 16;Cell 17;Cell 18;Cell 19;Cell 20;Cell 21;Cell 22;Cell 23;Cell 24;Cell 25;Cell 26;Cell 27
27;1/1/2026 15:20;#2401 000:00:59:09;0;2.7;2.7;105.8;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
28;1/1/2026 15:20;#2401 000:00:59:10;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
29;1/1/2026 15:20;#2401 000:00:59:11;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
30;1/1/2026 15:20;#2401 000:00:59:12;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
31;1/1/2026 15:20;#2401 000:00:59:13;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
32;1/1/2026 15:20;#2401 000:00:59:14;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
33;1/1/2026 15:20;#2401 000:00:59:15;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
34;1/1/2026 15:20;#2401 000:00:59:16;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
35;1/1/2026 15:20;#2401 000:00:59:17;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
36;1/1/2026 15:20;#2401 000:00:59:18;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
37;1/1/2026 15:20;#2401 000:00:59:19;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
38;1/1/2026 15:20;#2401 000:00:59:20;0;0.4;0.4;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
39;1/1/2026 15:20;#2401 000:00:59:21;0;0.6;0.6;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.75;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
