Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
535.6746,0,,535.6749,0.75,,535.6745,0.0,,535.6749,0.0,,535.6746,0,,535.6747,0.0,,535.6745,109.375,,535.6745,60,,535.6746,0.0,,535.6747,0.0,,535.6749,1.26171875,,535.6749,0.0,,535.6747,0.0,,535.6747,-1.0625,,
535.6946,0,,535.6949,0.25,,535.6945,0.0,,535.6949,0.0,,535.6946,0,,535.6947,0.0,,535.6945,109.5,,535.6945,60,,535.6946,0.0,,535.6947,0.0,,535.6949,1.28125,,535.6949,0.0,,535.6947,0.0,,535.6947,-1.375,,
535.7148,0,,535.7151,-0.75,,535.7147,0.0,,535.7151,0.0,,535.7148,0,,535.7149,0.0,,535.7147,109.4375,,535.7147,60,,535.7148,0.0,,535.7149,0.0,,535.7151,1.2890625,,535.7151,0.0,,535.7149,0.0,,535.7149,0.4375,,
535.7346,0,,535.7348,0.25,,535.7344,0.0,,535.7349,0.0,,535.7346,0,,535.7347,0.0,,535.7344,109.4375,,535.7344,60,,535.7346,0.0,,535.7347,0.0,,535.7348,1.296875,,535.7348,0.0,,535.7347,0.0,,535.7347,-0.1875,,
535.7547,0,,535.7549,0.25,,535.7545,0.0,,535.755,0.0,,535.7547,0,,535.7548,0.0,,535.7545,109.4375,,535.7545,60,,535.7547,0.0,,535.7548,0.0,,535.7549,1.296875,,535.7549,0.0,,535.7548,0.0,,535.7548,-1.375,,
535.7746,0,,535.7748,0.25,,535.7744,0.0,,535.7749,0.0,,535.7746,0,,535.7747,0.0,,535.7744,109.375,,535.7744,60,,535.7746,0.0,,535.7747,0.0,,535.7748,1.2890625,,535.7748,0.0,,535.7747,0.0,,535.7747,0.4375,,
535.7946,0,,535.7948,-0.875,,535.7945,0.0,,535.7949,0.0,,535.7946,0,,535.7947,0.0,,535.7945,109.4375,,535.7945,60,,535.7946,0.0,,535.7947,0.0,,535.7948,1.28125,,535.7948,0.0,,535.7947,0.0,,535.7947,-0.9375,,
535.8146,0,,535.8148,0.125,,535.8145,0.0,,535.8149,0.0,,535.8146,0,,535.8147,0.0,,535.8145,109.375,,535.8145,60,,535.8146,0.0,,535.8147,0.0,,535.8148,1.24609375,,535.8148,0.0,,535.8147,0.0,,535.8147,-0.375,,
535.8345,0,,535.8348,0.125,,535.8344,0.0,,535.8349,0.0,,535.8345,0,,535.8347,0.0,,535.8344,109.5,,535.8344,60,,535.8345,0.0,,535.8347,0.0,,535.8348,1.24609375,,535.8348,0.0,,535.8347,0.0,,535.8347,0.875,,
535.8547,0,,535.8549,0.125,,535.8545,0.0,,535.855,0.0,,535.8547,0,,535.8548,0.0,,535.8545,109.5,,535.8545,60,,535.8547,0.0,,535.8548,0.0,,535.8549,1.28125,,535.8549,0.0,,535.8548,0.0,,535.8548,-0.375,,
535.8746,0,,535.8748,0.125,,535.8744,0.0,,535.8749,0.0,,535.8746,0,,535.8747,0.0,,535.8744,109.5,,535.8744,60,,535.8746,0.0,,535.8747,0.0,,535.8748,1.2734375,,535.8748,0.0,,535.8747,0.0,,535.8747,0.25,,
535.8945,0,,535.8948,-0.375,,535.8944,0.0,,535.8948,0.0,,535.8945,0,,535.8947,0.0,,535.8944,109.4375,,535.8944,60,,535.8945,0.0,,535.8947,0.0,,535.8948,1.26171875,,535.8948,0.0,,535.8947,0.0,,535.8947,1.125,,
535.9148,0,,535.915,-0.875,,535.9146,0.0,,535.9151,0.0,,535.9148,0,,535.9149,0.0,,535.9146,109.4375,,535.9146,60,,535.9148,0.0,,535.9149,0.0,,535.915,1.2734375,,535.915,0.0,,535.9149,0.0,,535.9149,0.8125,,
535.9333,0,,535.9336,-0.875,,535.9332,0.0,,535.9336,0.0,,535.9333,0,,535.9334,0.0,,535.9332,109.4375,,535.9332,60,,535.9333,0.0,,535.9334,0.0,,535.9336,1.31640625,,535.9336,0.0,,535.9334,0.0,,535.9334,0.8125,,
535.9547,0,,535.9549,-0.375,,535.9545,0.0,,535.955,0.0,,535.9547,0,,535.9548,0.0,,535.9545,109.4375,,535.9545,60,,535.9547,0.0,,535.9548,0.0,,535.9549,1.26171875,,535.9549,0.0,,535.9548,0.0,,535.9548,-0.6875,,
535.9747,0,,535.975,-1.375,,535.9746,0.0,,535.975,0.0,,535.9747,0,,535.9748,0.0,,535.9746,109.375,,535.9746,60,,535.9747,0.0,,535.9748,0.0,,535.975,1.24609375,,535.975,0.0,,535.9748,0.0,,535.9748,2.3125,,
535.9947,0,,535.995,-0.375,,535.9946,0.0,,535.995,0.0,,535.9947,0,,535.9948,0.0,,535.9946,109.4375,,535.9946,60,,535.9947,0.0,,535.9948,0.0,,535.995,1.2265625,,535.995,0.0,,535.9948,0.0,,535.9948,-0.0625,,
536.0148,0,,536.015,0.125,,536.0147,0.0,,536.0151,0.0,,536.0148,0,,536.0149,0.0,,536.0147,109.4375,,536.0147,60,,536.0148,0.0,,536.0149,0.0,,536.015,1.2734375,,536.015,0.0,,536.0149,0.0,,536.0149,-0.375,,
536.0347,0,,536.035,-0.375,,536.0346,0.0,,536.035,0.0,,536.0347,0,,536.0348,0.0,,536.0346,109.5,,536.0346,60,,536.0347,0.0,,536.0348,0.0,,536.035,1.26171875,,536.035,0.0,,536.0348,0.0,,536.0348,-0.9375,,
536.0548,0,,536.055,0.125,,536.0547,0.0,,536.0551,0.0,,536.0548,0,,536.0549,0.0,,536.0547,109.5,,536.0547,60,,536.0548,0.0,,536.0549,0.0,,536.055,1.30859375,,536.055,0.0,,536.0549,0.0,,536.0549,-1.25,,
536.0747,0,,536.075,-0.375,,536.0746,0.0,,536.075,0.0,,536.0747,0,,536.0748,0.0,,536.0746,109.4375,,536.0746,60,,536.0747,0.0,,536.0748,0.0,,536.075,1.30859375,,536.075,0.0,,536.0748,0.0,,536.0748,1.125,,
536.0947,0,,536.095,-0.375,,536.0946,0.0,,536.095,0.0,,536.0947,0,,536.0948,0.0,,536.0946,109.4375,,536.0946,60,,536.0947,0.0,,536.0948,0.0,,536.095,1.296875,,536.095,0.0,,536.0948,0.0,,536.0948,1.125,,
536.1149,0,,536.1152,0.125,,536.1147,0.0,,536.1152,0.0,,536.1149,0,,536.115,0.0,,536.1147,109.375,,536.1147,60,,536.1149,0.0,,536.115,0.0,,536.1152,1.26171875,,536.1152,0.0,,536.115,0.0,,536.115,-0.0625,,
536.1347,0,,536.135,0.125,,536.1346,0.0,,536.135,0.0,,536.1347,0,,536.1348,0.0,,536.1346,109.4375,,536.1346,60,,536.1347,0.0,,536.1348,0.0,,536.135,1.2734375,,536.135,0.0,,536.1348,0.0,,536.1348,0.875,,
536.1547,0,,536.155,0.125,,536.1546,0.0,,536.1551,0.0,,536.1547,0,,536.1549,0.0,,536.1546,109.5,,536.1546,60,,536.1547,0.0,,536.1549,0.0,,536.155,1.296875,,536.155,0.0,,536.1549,0.0,,536.1549,-0.9375,,
536.1747,0,,536.175,0.125,,536.1746,0.0,,536.175,0.0,,536.1747,0,,536.1748,0.0,,536.1746,109.4375,,536.1746,60,,536.1747,0.0,,536.1748,0.0,,536.175,1.2734375,,536.175,0.0,,536.1748,0.0,,536.1748,0.875,,
536.1947,0,,536.195,0.125,,536.1946,0.0,,536.195,0.0,,536.1947,0,,536.1948,0.0,,536.1946,109.4375,,536.1946,60,,536.1947,0.0,,536.1948,0.0,,536.195,1.26171875,,536.195,0.0,,536.1948,0.0,,536.1948,-1.25,,
536.215,0,,536.2152,0.625,,536.2148,0.0,,536.2153,0.0,,536.215,0,,536.2151,0.0,,536.2148,109.4375,,536.2148,60,,536.215,0.0,,536.2151,0.0,,536.2152,1.28125,,536.2152,0.0,,536.2151,0.0,,536.2151,0.5,,
536.2347,0,,536.235,-1.875,,536.2346,0.0,,536.2351,0.0,,536.2347,0,,536.2349,0.0,,536.2346,109.4375,,536.2346,60,,536.2347,0.0,,536.2349,0.0,,536.235,1.26171875,,536.235,0.0,,536.2349,0.0,,536.2349,-0.375,,
