Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
481.0515,0,,481.0318,-0.4375,,481.0513,0.0,,481.0318,0.0,,481.0515,0,,481.0516,0.0,,,,,481.0513,108.9375,,481.0513,31,,481.0515,0.0,,481.0516,0.0,,,,,481.0318,1.2734375,,481.0318,0.0,,481.0516,0.0,,,,,481.0516,-0.5625,,
481.0715,0,,481.0517,-0.4375,,481.0713,0.0,,481.0518,0.0,,481.0715,0,,481.0716,0.0,,,,,481.0713,108.9375,,481.0713,31,,481.0715,0.0,,481.0716,0.0,,,,,481.0517,1.33203125,,481.0517,0.0,,481.0716,0.0,,,,,481.0716,-0.5625,,
481.0915,0,,481.0717,-0.4375,,481.0913,0.0,,481.0718,0.0,,481.0915,0,,481.0916,0.0,,,,,481.0913,108.875,,481.0913,31,,481.0915,0.0,,481.0916,0.0,,,,,481.0717,1.33203125,,481.0717,0.0,,481.0916,0.0,,,,,481.0916,0.625,,
481.1115,0,,481.0917,0.625,,481.1113,0.0,,481.0918,0.0,,481.1115,0,,481.1116,0.0,,,,,481.1113,108.9375,,481.1113,31,,481.1115,0.0,,481.1116,0.0,,,,,481.0917,1.30859375,,481.0917,0.0,,481.1116,0.0,,,,,481.1116,-0.5625,,
481.1315,0,,481.1117,0.5625,,481.1314,0.0,,481.1118,0.0,,481.1315,0,,481.1317,0.0,,,,,481.1314,108.9375,,481.1314,31,,481.1315,0.0,,481.1317,0.0,,,,,481.1117,1.32421875,,481.1117,0.0,,481.1317,0.0,,,,,481.1317,-0.8125,,
481.1515,0,,481.1318,-0.9375,,481.1514,0.0,,481.1319,0.0,,481.1515,0,,481.1517,0.0,,,,,481.1514,108.9375,,481.1514,31,,481.1515,0.0,,481.1517,0.0,,,,,481.1318,1.31640625,,481.1318,0.0,,481.1517,0.0,,,,,481.1517,-1.4375,,
481.1715,0,,481.1518,-1.5,,481.1712,0.0,,481.1519,0.0,,481.1715,0,,481.1716,0.0,,,,,481.1712,108.9375,,481.1712,31,,481.1715,0.0,,481.1716,0.0,,,,,481.1518,1.30859375,,481.1518,0.0,,481.1716,0.0,,,,,481.1716,0.0625,,
481.1915,0,,481.1717,0.5625,,481.1912,0.0,,481.1718,0.0,,481.1915,0,,481.1916,0.0,,,,,481.1912,108.875,,481.1912,31,,481.1915,0.0,,481.1916,0.0,,,,,481.1717,1.30859375,,481.1717,0.0,,481.1916,0.0,,,,,481.1916,-1.4375,,
481.2115,0,,481.1917,-0.9375,,481.2112,0.0,,481.1918,0.0,,481.2115,0,,481.2116,0.0,,,,,481.2112,108.875,,481.2112,31,,481.2115,0.0,,481.2116,0.0,,,,,481.1917,1.32421875,,481.1917,0.0,,481.2116,0.0,,,,,481.2116,-0.25,,
481.2315,0,,481.2117,-0.9375,,481.2312,0.0,,481.2118,0.0,,481.2315,0,,481.2316,0.0,,,,,481.2312,108.9375,,481.2312,31,,481.2315,0.0,,481.2316,0.0,,,,,481.2117,1.31640625,,481.2117,0.0,,481.2316,0.0,,,,,481.2316,-1.6875,,
