Time (s),0x0082_Supply_critical  ,,Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),0x0081_IO_can't_initialise  ,,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
,,,1186.8066,-1.625,,1186.8004,0,,1186.8006,0.0,,1186.8001,0.0,,1186.8006,-0.125,,1186.8001,687,,1186.8068,0.25,,1186.8064,103.0,,1186.8002,0.0,,1186.8065,0.0,,1186.8004,0,,1186.8005,0.0,,1186.8064,0,,,,,1186.8064,0.0,,1186.8064,1079,,1186.8001,687,,1186.8066,0.0,,1186.8001,527,,1186.8064,0.0,,1186.8001,0.0,,1186.8065,0,,1186.8068,0.0,,1186.8002,103.125,,1186.8002,23,,1186.8064,24,,1186.8005,0.0,,1186.8004,0.0,,,,,1186.8066,0.0,,1186.8064,0.0,,1186.8064,0,,1186.8066,0.0,,1186.8006,1.24609375,,1186.8068,0.0,,1186.8064,1079,,1186.8006,0.0,,1186.8001,527,,1186.8005,0.0,,,,,1186.8068,0.0,,1186.8005,-0.75,,
,,,1186.8267,-1.3125,,1186.8203,0,,1186.8206,0.0,,1186.8202,0.0,,1186.8206,0.375,,1186.8202,696,,1186.8269,-0.25,,1186.8265,103.0625,,1186.8202,0.0,,1186.8266,0.0,,1186.8203,0,,1186.8205,0.0,,1186.8263,0,,,,,1186.8263,0.0,,1186.8263,1079,,1186.8202,696,,1186.8267,0.0,,1186.8202,527,,1186.8263,0.0,,1186.8202,0.0,,1186.8266,0,,1186.8269,0.0,,1186.8202,103.125,,1186.8202,23,,1186.8265,24,,1186.8205,0.0,,1186.8203,0.0,,,,,1186.8267,0.0,,1186.8265,0.0,,1186.8263,0,,1186.8267,0.0,,1186.8206,1.28125,,1186.8269,0.0,,1186.8263,1079,,1186.8206,0.0,,1186.8202,527,,1186.8205,0.0,,,,,1186.8269,0.0,,1186.8205,-0.4375,,
,,,1186.8467,-0.75,,1186.8404,0,,1186.8407,0.0,,1186.8402,0.0,,1186.8407,1.375,,1186.8402,704,,1186.8468,-0.25,,1186.8464,103.0,,1186.8403,0.0,,1186.8466,0.0,,1186.8404,0,,1186.8405,0.0,,1186.8463,0,,,,,1186.8463,0.0,,1186.8463,1079,,1186.8402,704,,1186.8467,0.0,,1186.8402,527,,1186.8463,0.0,,1186.8402,0.0,,1186.8466,0,,1186.8468,0.0,,1186.8403,103.125,,1186.8403,23,,1186.8464,24,,1186.8405,0.0,,1186.8404,0.0,,,,,1186.8467,0.0,,1186.8464,0.0,,1186.8463,0,,1186.8467,0.0,,1186.8407,1.26171875,,1186.8468,0.0,,1186.8463,1079,,1186.8407,0.0,,1186.8402,527,,1186.8405,0.0,,,,,1186.8468,0.0,,1186.8405,-0.5,,
,,,1186.8667,-1.9375,,1186.8604,0,,1186.8606,0.0,,1186.8601,0.0,,1186.8606,-2.6875,,1186.8601,712,,1186.8668,0.25,,1186.8664,102.9375,,1186.8603,0.0,,1186.8665,0.0,,1186.8604,0,,1186.8605,0.0,,1186.8663,0,,,,,1186.8663,0.0,,1186.8663,1079,,1186.8601,712,,1186.8667,0.0,,1186.8601,527,,1186.8663,0.0,,1186.8601,0.0,,1186.8665,0,,1186.8668,0.0,,1186.8603,103.0625,,1186.8603,23,,1186.8664,24,,1186.8605,0.0,,1186.8604,0.0,,,,,1186.8667,0.0,,1186.8664,0.0,,1186.8663,0,,1186.8667,0.0,,1186.8606,1.24609375,,1186.8668,0.0,,1186.8663,1079,,1186.8606,0.0,,1186.8601,527,,1186.8605,0.0,,,,,1186.8668,0.0,,1186.8605,-0.375,,
,,,1186.8866,-1.0,,1186.8804,0,,1186.8806,0.0,,1186.8802,0.0,,1186.8806,-0.125,,1186.8802,719,,1186.8868,0.25,,1186.8864,103.0,,1186.8802,0.0,,1186.8865,0.0,,1186.8804,0,,1186.8805,0.0,,1186.8862,0,,,,,1186.8862,0.0,,1186.8862,1079,,1186.8802,719,,1186.8866,0.0,,1186.8802,527,,1186.8862,0.0,,1186.8802,0.0,,1186.8865,0,,1186.8868,0.0,,1186.8802,103.0625,,1186.8802,23,,1186.8864,24,,1186.8805,0.0,,1186.8804,0.0,,,,,1186.8866,0.0,,1186.8864,0.0,,1186.8862,0,,1186.8866,0.0,,1186.8806,1.24609375,,1186.8868,0.0,,1186.8862,1079,,1186.8806,0.0,,1186.8802,527,,1186.8805,0.0,,,,,1186.8868,0.0,,1186.8805,-0.75,,
,,,1186.9066,-1.3125,,1186.9003,0,,1186.9006,0.0,,1186.9002,0.0,,1186.9006,0.375,,1186.9002,726,,1186.9067,-0.8125,,1186.9063,103.0,,1186.9002,0.0,,1186.9065,0.0,,1186.9003,0,,1186.9005,0.0,,1186.9063,0,,,,,1186.9063,0.0,,1186.9063,1079,,1186.9002,726,,1186.9066,0.0,,1186.9002,527,,1186.9063,0.0,,1186.9002,0.0,,1186.9065,0,,1186.9067,0.0,,1186.9002,103.0625,,1186.9002,23,,1186.9063,24,,1186.9005,0.0,,1186.9003,0.0,,,,,1186.9066,0.0,,1186.9063,0.0,,1186.9063,0,,1186.9066,0.0,,1186.9006,1.2265625,,1186.9067,0.0,,1186.9063,1079,,1186.9006,0.0,,1186.9002,527,,1186.9005,0.0,,,,,1186.9067,0.0,,1186.9005,-0.4375,,
,,,1186.9267,-1.3125,,1186.9204,0,,1186.9207,0.0,,1186.9202,0.0,,1186.9207,-0.125,,1186.9202,732,,1186.9268,-0.8125,,1186.9264,102.9375,,1186.9203,0.0,,1186.9266,0.0,,1186.9204,0,,1186.9205,0.0,,1186.9263,0,,,,,1186.9263,0.0,,1186.9263,1079,,1186.9202,732,,1186.9267,0.0,,1186.9202,527,,1186.9263,0.0,,1186.9202,0.0,,1186.9266,0,,1186.9268,0.0,,1186.9203,103.0625,,1186.9203,23,,1186.9264,24,,1186.9205,0.0,,1186.9204,0.0,,,,,1186.9267,0.0,,1186.9264,0.0,,1186.9263,0,,1186.9267,0.0,,1186.9207,1.28125,,1186.9268,0.0,,1186.9263,1079,,1186.9207,0.0,,1186.9202,527,,1186.9205,0.0,,,,,1186.9268,0.0,,1186.9205,-0.125,,
,,,1186.9467,-1.625,,1186.9404,0,,1186.9406,0.0,,1186.9401,0.0,,1186.9406,-1.1875,,1186.9401,738,,1186.9468,-0.3125,,1186.9464,103.0,,1186.9403,0.0,,1186.9465,0.0,,1186.9404,0,,1186.9405,0.0,,1186.9463,0,,,,,1186.9463,0.0,,1186.9463,1079,,1186.9401,738,,1186.9467,0.0,,1186.9401,527,,1186.9463,0.0,,1186.9401,0.0,,1186.9465,0,,1186.9468,0.0,,1186.9403,103.0625,,1186.9403,23,,1186.9464,24,,1186.9405,0.0,,1186.9404,0.0,,,,,1186.9467,0.0,,1186.9464,0.0,,1186.9463,0,,1186.9467,0.0,,1186.9406,1.30859375,,1186.9468,0.0,,1186.9463,1079,,1186.9406,0.0,,1186.9401,527,,1186.9405,0.0,,,,,1186.9468,0.0,,1186.9405,-0.125,,
,,,1186.9666,0.4375,,1186.9604,0,,1186.9606,0.0,,1186.9601,0.0,,1186.9606,-0.125,,1186.9601,743,,1186.9668,-0.8125,,1186.9664,103.0625,,1186.9602,0.0,,1186.9665,0.0,,1186.9604,0,,1186.9605,0.0,,1186.9662,0,,,,,1186.9662,0.0,,1186.9662,1079,,1186.9601,743,,1186.9666,0.0,,1186.9601,527,,1186.9662,0.0,,1186.9601,0.0,,1186.9665,0,,1186.9668,0.0,,1186.9602,103.125,,1186.9602,23,,1186.9664,24,,1186.9605,0.0,,1186.9604,0.0,,,,,1186.9666,0.0,,1186.9664,0.0,,1186.9662,0,,1186.9666,0.0,,1186.9606,1.26171875,,1186.9668,0.0,,1186.9662,1079,,1186.9606,0.0,,1186.9601,527,,1186.9605,0.0,,,,,1186.9668,0.0,,1186.9605,-0.125,,
,,,1186.9866,-1.0625,,1186.9805,0,,1186.9807,0.0,,1186.9802,0.0,,1186.9807,-0.625,,1186.9802,748,,1186.9867,-1.3125,,1186.9863,103.0,,1186.9803,0.0,,1186.9865,0.0,,1186.9805,0,,1186.9806,0.0,,1186.9863,0,,,,,1186.9863,0.0,,1186.9863,1079,,1186.9802,748,,1186.9866,0.0,,1186.9802,527,,1186.9863,0.0,,1186.9802,0.0,,1186.9865,0,,1186.9867,0.0,,1186.9803,103.0625,,1186.9803,23,,1186.9863,24,,1186.9806,0.0,,1186.9805,0.0,,,,,1186.9866,0.0,,1186.9863,0.0,,1186.9863,0,,1186.9866,0.0,,1186.9807,1.296875,,1186.9867,0.0,,1186.9863,1079,,1186.9807,0.0,,1186.9802,527,,1186.9806,0.0,,,,,1186.9867,0.0,,1186.9806,-0.4375,,
