latitude;longitude;altitude (m);distance (km)
-33.6023;-70.5257;772.6;2.227
-33.6023;-70.5256;772.2;2.238
-33.6023;-70.5255;771.8;2.248
-33.6023;-70.5253;771.5;2.259
-33.6023;-70.5252;771.1;2.269
-33.6023;-70.5251;770.8;2.281
-33.6023;-70.525;770.5;2.291
-33.6023;-70.5249;770.4;2.301
-33.6022;-70.5248;770.4;2.312
-33.6022;-70.5247;770.4;2.322
-33.6022;-70.5245;770.3;2.333
-33.6023;-70.5244;770.3;2.345
-33.6023;-70.5243;770.3;2.355
-33.6023;-70.5242;770.2;2.366
-33.6024;-70.5241;770.2;2.376
-33.6025;-70.5241;770.2;2.386
-33.6025;-70.524;770.7;2.398
-33.6026;-70.5239;771.9;2.41
-33.6027;-70.5239;772.9;2.421
-33.6028;-70.5238;773.7;2.432
-33.6029;-70.5238;774.6;2.442
-33.603;-70.5237;775.2;2.453
-33.6031;-70.5236;775.8;2.464
-33.6031;-70.5236;776.4;2.475
-33.6032;-70.5235;776.9;2.486
-33.6033;-70.5234;777.4;2.498
-33.6034;-70.5234;776.8;2.509
-33.6035;-70.5233;776.1;2.521
-33.6036;-70.5232;775.4;2.532
-33.6036;-70.5231;774.6;2.543
-33.6037;-70.523;773.8;2.555
-33.6037;-70.5229;773.0;2.566
-33.6038;-70.5228;772.2;2.578
-33.6038;-70.5226;771.4;2.591
-33.6038;-70.5225;770.7;2.603
-33.6038;-70.5224;770.7;2.616
-33.6038;-70.5222;770.9;2.629
-33.6037;-70.5221;771.0;2.641
-33.6037;-70.522;771.2;2.654
-33.6037;-70.5219;771.4;2.666
-33.6036;-70.5218;771.7;2.677
-33.6035;-70.5217;772.0;2.689
-33.6035;-70.5216;773.0;2.7
-33.6034;-70.5215;774.1;2.713
-33.6033;-70.5214;775.0;2.725
-33.6032;-70.5213;775.6;2.737
-33.6031;-70.5213;775.9;2.749
-33.603;-70.5212;776.3;2.76
-33.603;-70.5211;776.5;2.771
-33.6029;-70.521;776.7;2.782
-33.6028;-70.5209;776.9;2.794
-33.6027;-70.5209;777.0;2.807
-33.6026;-70.5208;777.0;2.819
-33.6026;-70.5207;777.0;2.831
-33.6025;-70.5206;777.2;2.843
-33.6024;-70.5205;777.7;2.854
-33.6023;-70.5204;778.2;2.866
-33.6022;-70.5203;778.7;2.878
-33.6022;-70.5202;779.1;2.889
-33.6021;-70.5201;779.5;2.902
-33.602;-70.52;779.9;2.914
-33.602;-70.5199;780.1;2.925
-33.6019;-70.5198;780.2;2.937
-33.6019;-70.5197;780.2;2.95
-33.6018;-70.5196;780.3;2.961
-33.6018;-70.5195;780.2;2.971
-33.6017;-70.5194;780.0;2.988
-33.6015;-70.5193;780.6;3.006
-33.6014;-70.5193;781.1;3.023
-33.6012;-70.5194;781.6;3.04
-33.6011;-70.5196;781.9;3.056
-33.6011;-70.5197;781.9;3.073
-33.6011;-70.5199;781.9;3.092
-33.6011;-70.5202;781.5;3.112
-33.6011;-70.5203;781.2;3.123
-33.6011;-70.5204;780.9;3.134
-33.6012;-70.5205;780.6;3.147
-33.6012;-70.5207;780.2;3.16
-33.6012;-70.5208;779.9;3.173
-33.6012;-70.521;779.4;3.186
-33.6012;-70.5211;778.9;3.2
-33.6012;-70.5213;778.3;3.214
-33.6012;-70.5214;777.8;3.229
-33.6012;-70.5216;777.3;3.244
-33.6012;-70.5217;776.9;3.258
-33.6012;-70.5219;776.7;3.273
-33.6012;-70.5221;776.6;3.288
-33.6012;-70.5222;776.4;3.303
-33.6013;-70.5224;776.1;3.318
-33.6013;-70.5225;776.0;3.333
-33.6013;-70.5227;776.2;3.346
-33.6013;-70.5228;776.5;3.358
-33.6013;-70.5229;776.7;3.37
-33.6013;-70.5231;776.9;3.381
-33.6013;-70.5232;777.2;3.398
-33.6013;-70.5234;777.1;3.413
-33.6013;-70.5236;776.6;3.433
-33.6013;-70.5237;776.4;3.444
-33.6013;-70.5239;776.2;3.455
-33.6013;-70.524;775.9;3.467
-33.6013;-70.5241;775.6;3.479
-33.6013;-70.5242;775.5;3.49
-33.6013;-70.5244;775.5;3.502
-33.6013;-70.5245;775.6;3.514
-33.6013;-70.5246;775.7;3.528
-33.6013;-70.5248;775.7;3.54
-33.6013;-70.5249;775.8;3.552
-33.6013;-70.525;775.6;3.566
-33.6013;-70.5252;775.1;3.58
-33.6013;-70.5253;774.8;3.593
-33.6013;-70.5255;774.4;3.605
-33.6013;-70.5256;774.1;3.617
-33.6013;-70.5257;773.8;3.629
-33.6013;-70.5259;773.6;3.642
-33.6013;-70.526;773.6;3.655
-33.6014;-70.5261;773.6;3.667
-33.6014;-70.5263;773.5;3.679
-33.6014;-70.5264;773.2;3.691
-33.6015;-70.5265;772.9;3.703
-33.6016;-70.5266;772.6;3.715
-33.6016;-70.5266;772.1;3.726
-33.6017;-70.5267;771.9;3.737
-33.6018;-70.5267;771.8;3.749
-33.6019;-70.5267;771.7;3.761
-33.602;-70.5267;771.6;3.772
-33.6021;-70.5267;771.4;3.784
-33.6022;-70.5266;771.4;3.798
-33.6023;-70.5265;771.6;3.812
-33.6024;-70.5263;772.0;3.825
-33.6024;-70.5262;772.4;3.837
-33.6024;-70.5261;772.8;3.85
-33.6024;-70.526;773.2;3.862
-33.6024;-70.5258;773.4;3.875
-33.6024;-70.5257;772.8;3.887
-33.6023;-70.5256;772.3;3.901
-33.6023;-70.5254;771.7;3.914
-33.6023;-70.5253;771.3;3.926
-33.6023;-70.5252;770.9;3.938
-33.6023;-70.525;770.5;3.951
-33.6023;-70.5249;770.4;3.964
-33.6022;-70.5248;770.4;3.976
-33.6022;-70.5246;770.3;3.987
