Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Footbrake Pot Input Voltage V (0.00390625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
1075.3376,0,,1075.3378,0.0,,1075.3378,-2.5,,1075.3374,0.1875,,1075.3378,-1.9000000000000001,,1075.3376,-33,,1075.3377,-2.625,,1075.3378,0.0,,1075.3374,102.0625,,1075.3374,30,,1075.3376,-2.625,,1075.3377,-2.0,,1075.3378,2.7109375,,1075.3378,0.5625,,1075.3377,-3.1875,,1075.3377,-2.5625,,
1075.3575,0,,1075.3578,0.0,,1075.3578,-1.875,,1075.3574,0.1875,,1075.3579,-1.9000000000000001,,1075.3575,-33,,1075.3577,-2.625,,1075.3579,0.0,,1075.3574,102.125,,1075.3574,30,,1075.3575,-2.625,,1075.3577,-1.5625,,1075.3578,2.703125,,1075.3578,0.25,,1075.3577,-3.1875,,1075.3577,-3.9375,,
1075.3775,4,,1075.3778,0.0,,1075.3778,0.3125,,1075.3774,0.1875,,1075.3779,-1.9000000000000001,,1075.3775,-34,,1075.3776,-2.625,,1075.3779,0.0,,1075.3774,102.125,,1075.3774,30,,1075.3775,-2.625,,1075.3776,-1.6875,,1075.3778,2.73828125,,1075.3778,0.125,,1075.3776,-3.1875,,1075.3776,-3.8125,,
1075.3975,4,,1075.3977,0.0,,1075.3977,1.5,,1075.3974,0.1875,,1075.3979,-1.9000000000000001,,1075.3975,-34,,1075.3976,-2.625,,1075.3979,0.0,,1075.3974,102.125,,1075.3974,30,,1075.3975,-2.625,,1075.3976,-1.625,,1075.3977,2.765625,,1075.3977,-0.3125,,1075.3976,-3.1875,,1075.3976,-4.125,,
1075.4174,0,,1075.4177,0.0,,1075.4177,2.1875,,1075.4173,0.1875,,1075.4178,-1.9000000000000001,,1075.4174,-35,,1075.4176,-2.625,,1075.4178,0.0,,1075.4173,102.125,,1075.4173,30,,1075.4174,-2.625,,1075.4176,-2.0,,1075.4177,2.74609375,,1075.4177,-0.5625,,1075.4176,-3.1875,,1075.4176,-2.4375,,
1075.4375,0,,1075.4377,0.0,,1075.4377,-1.6875,,1075.4374,0.1875,,1075.4378,-2.0,,1075.4375,-35,,1075.4375,-2.6875,,1075.4378,0.0,,1075.4374,102.125,,1075.4374,30,,1075.4375,-2.75,,1075.4375,-2.0625,,1075.4377,2.7578125,,1075.4377,0.375,,1075.4375,-3.25,,1075.4375,-2.5,,
1075.4575,0,,1075.4578,0.0,,1075.4578,0.75,,1075.4574,0.1875,,1075.4579,-2.0,,1075.4575,-36,,1075.4576,-2.75,,1075.4579,0.0,,1075.4574,102.125,,1075.4574,30,,1075.4575,-2.75,,1075.4576,-1.8125,,1075.4578,2.7578125,,1075.4578,0.125,,1075.4576,-3.375,,1075.4576,-3.875,,
1075.4775,0,,1075.4777,0.0,,1075.4777,-1.0,,1075.4774,0.1875,,1075.4779,-2.0,,1075.4775,-36,,1075.4776,-2.75,,1075.4779,0.0,,1075.4774,102.125,,1075.4774,30,,1075.4775,-2.75,,1075.4776,-2.0,,1075.4777,2.74609375,,1075.4777,0.3125,,1075.4776,-3.375,,1075.4776,-5.75,,
1075.4974,0,,1075.4977,0.0,,1075.4977,0.9375,,1075.4973,0.1875,,1075.4978,-2.0,,1075.4974,-37,,1075.4976,-2.75,,1075.4978,0.0,,1075.4973,102.125,,1075.4973,30,,1075.4974,-2.75,,1075.4976,-1.9375,,1075.4977,2.78125,,1075.4977,-0.1875,,1075.4976,-3.375,,1075.4976,-3.1875,,
1075.5174,0,,1075.5177,0.0,,1075.5177,1.6875,,1075.5173,0.1875,,1075.5178,-2.0,,1075.5174,-37,,1075.5175,-2.75,,1075.5178,0.0,,1075.5173,102.1875,,1075.5173,30,,1075.5174,-2.75,,1075.5175,-2.1875,,1075.5177,2.73046875,,1075.5177,0.0,,1075.5175,-3.375,,1075.5175,-2.1875,,
1075.5375,0,,1075.5376,0.0,,1075.5376,-0.375,,1075.5374,0.1875,,1075.5378,-2.0,,1075.5375,-38,,1075.5375,-2.75,,1075.5378,0.0,,1075.5374,102.1875,,1075.5374,30,,1075.5375,-2.75,,1075.5375,-1.6875,,1075.5376,2.73828125,,1075.5376,0.0625,,1075.5375,-3.375,,1075.5375,-4.3125,,
