Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
380.1018,232,,380.1021,0.0,,380.1021,144.5625,,380.1016,27.0625,,380.1022,-86.7,,380.1018,653,,380.102,-139.875,,380.1016,106.4375,,380.1016,38,,380.1018,-121.25,,380.102,-5.8125,,0.0,0,,380.1021,4.1953125,,380.1021,1.6875,,380.102,-111.4375,,0.0,0,,380.102,-178.0625,,
380.1218,104,,380.1221,0.0,,380.1221,-17.875,,380.1216,23.9375,,380.1222,-86.5,,380.1218,244,,380.122,-93.25,,380.1216,107.4375,,380.1216,38,,380.1218,-120.9375,,380.122,-3.4375,,45.0469,"0x45C3 (0x03 0x03 0x00)",,380.1221,4.20703125,,380.1221,-1.0625,,380.122,-112.1875,,45.0537,"0x4DC3 (0x00 0x00 0x00)",,380.122,-103.375,,
380.1418,178,,380.1421,0.0,,380.1421,-28.1875,,380.1416,23.8125,,380.1422,-87.0,,380.1418,90,,380.1419,-139.875,,380.1416,106.75,,380.1416,38,,380.1418,-121.6875,,380.1419,-4.6875,,45.0469,0,,380.1421,4.1796875,,380.1421,-0.375,,380.1419,-168.0,,45.0537,0,,380.1419,-175.8125,,
380.1618,129,,380.1621,0.0,,380.1621,-37.3125,,380.1616,25.4375,,380.1621,-87.30000000000001,,380.1618,36,,380.1619,-139.875,,380.1616,105.9375,,380.1616,38,,380.1618,-122.0625,,380.1619,-19.0625,,45.0469,1,,380.1621,4.171875,,380.1621,1.3125,,380.1619,-168.0,,45.0537,1,,380.1619,-119.5,,
380.1818,175,,380.1821,0.0,,380.1821,-10.875,,380.1816,26.4375,,380.1821,-86.5,,380.1818,66,,380.1819,-139.875,,380.1816,106.75,,380.1816,38,,380.1818,-120.9375,,380.1819,-4.6875,,515.6043,1,,380.1821,4.1796875,,380.1821,0.0,,380.1819,-168.0,,515.6043,1,,380.1819,-175.5,,
380.2019,175,,380.2022,0.0,,380.2022,-13.375,,380.2018,26.6875,,380.2023,-86.2,,380.2019,34,,380.2021,-139.875,,380.2018,106.875,,380.2018,38,,380.2019,-120.5625,,380.2021,-4.625,,,,,380.2022,4.1875,,380.2022,-0.0625,,380.2021,-168.0,,,,,380.2021,-174.875,,
380.2219,172,,380.2222,0.0,,380.2222,50.6875,,380.2218,27.5,,380.2223,-86.5,,380.2219,209,,380.2221,-120.75,,380.2218,107.0,,380.2218,38,,380.2219,-120.9375,,380.2221,-4.8125,,,,,380.2222,4.20703125,,380.2222,0.375,,380.2221,-145.3125,,,,,380.2221,-162.1875,,
380.2419,167,,380.2422,0.0,,380.2422,-2.3125,,380.2418,26.875,,380.2422,-86.7,,380.2419,100,,380.242,-139.875,,380.2418,106.9375,,380.2418,38,,380.2419,-121.25,,380.242,-4.625,,,,,380.2422,4.23046875,,380.2422,0.0,,380.242,-168.0,,,,,380.242,-167.5,,
380.2619,173,,380.2622,0.0,,380.2622,-15.0625,,380.2618,26.9375,,380.2622,-87.30000000000001,,380.2619,44,,380.262,-139.875,,380.2618,106.9375,,380.2618,38,,380.2619,-122.0625,,380.262,-4.5625,,,,,380.2622,4.2578125,,380.2622,-0.1875,,380.262,-168.0,,,,,380.262,-174.125,,
380.282,162,,380.2822,0.0,,380.2822,24.3125,,380.2818,27.75,,380.2823,-88.10000000000001,,380.282,153,,380.2821,-139.875,,380.2818,107.0625,,380.2818,38,,380.282,-123.1875,,380.2821,-4.5625,,,,,380.2822,4.265625,,380.2822,0.4375,,380.2821,-168.0,,,,,380.2821,-162.1875,,
380.3019,171,,380.3022,0.0,,380.3022,-7.8125,,380.3018,27.5625,,380.3022,-89.0,,380.3019,73,,380.302,-139.875,,380.3018,106.9375,,380.3018,38,,380.3019,-124.4375,,380.302,-4.6875,,,,,380.3022,4.28515625,,380.3022,-0.1875,,380.302,-168.0,,,,,380.302,-171.875,,
380.322,175,,380.3222,0.0,,380.3222,-14.3125,,380.3218,27.5625,,380.3223,-89.2,,380.322,34,,380.3221,-139.875,,380.3218,106.9375,,380.3218,38,,380.322,-124.75,,380.3221,-4.5,,,,,380.3222,4.28515625,,380.3222,-0.25,,380.3221,-168.0,,,,,380.3221,-174.1875,,
380.342,116,,380.3422,0.0,,380.3422,18.4375,,380.3418,27.25,,380.3423,-89.9,,380.342,262,,380.3421,-94.5,,380.3418,107.4375,,380.3418,38,,380.342,-125.6875,,380.3421,-3.4375,,,,,380.3422,4.265625,,380.3422,0.375,,380.3421,-113.6875,,,,,380.3421,-113.875,,
380.362,171,,380.3622,0.0,,380.3622,-16.25,,380.3618,26.375,,380.3623,-89.9,,380.362,101,,380.3621,-139.875,,380.3618,106.9375,,380.3618,38,,380.362,-125.6875,,380.3621,-4.8125,,,,,380.3622,4.265625,,380.3622,-0.625,,380.3621,-168.0,,,,,380.3621,-168.8125,,
393.9421,75,,393.9424,0.0,,393.9424,0.6875,,393.962,11.375,,393.9424,-44.5,,393.9421,-75,,393.9423,-62.625,,393.962,107.4375,,393.962,41,,393.9421,-62.1875,,393.9423,-4.8125,,,,,393.9424,2.828125,,393.9424,-0.25,,393.9423,-75.3125,,,,,393.9423,-77.3125,,
393.9622,75,,393.9624,0.0,,393.9624,0.0625,,393.982,11.5,,393.9625,-43.6,,393.9622,-74,,393.9623,-61.25,,393.982,107.4375,,393.982,41,,393.9622,-60.9375,,393.9623,-5.25,,,,,393.9624,2.87109375,,393.9624,0.0,,393.9623,-73.6875,,,,,393.9623,-74.125,,
393.9821,72,,393.9824,0.0,,393.9824,-5.125,,394.002,11.5,,393.9824,-42.800000000000004,,393.9821,-75,,393.9823,-60.125,,394.002,107.4375,,394.002,41,,393.9821,-59.8125,,393.9823,-5.375,,,,,393.9824,2.88671875,,393.9824,1.0625,,393.9823,-72.3125,,,,,393.9823,-71.875,,
394.0021,73,,394.0024,0.0,,394.0024,1.3125,,394.022,11.5625,,394.0024,-44.2,,394.0021,-75,,394.0023,-61.3125,,394.022,107.4375,,394.022,41,,394.0021,-61.8125,,394.0023,-5.0625,,,,,394.0024,2.88671875,,394.0024,-0.3125,,394.0023,-73.8125,,,,,394.0023,-73.5625,,
394.0221,74,,394.0224,0.0,,394.0224,0.375,,394.042,11.6875,,394.0224,-44.7,,394.0221,-75,,394.0223,-62.375,,394.042,107.4375,,394.042,41,,394.0221,-62.5,,394.0223,-5.1875,,,,,394.0224,2.8984375,,394.0224,-0.125,,394.0223,-75.0,,,,,394.0223,-74.6875,,
394.0421,75,,394.0424,0.0,,394.0424,-0.0625,,394.062,11.75,,394.0424,-44.7,,394.0421,-75,,394.0422,-62.5,,394.062,107.4375,,394.062,41,,394.0421,-62.5,,394.0422,-5.1875,,,,,394.0424,2.87109375,,394.0424,-0.0625,,394.0422,-75.1875,,,,,394.0422,-74.8125,,
394.0621,76,,394.0624,0.0,,394.0624,0.0,,394.082,11.8125,,394.0624,-45.1,,394.0621,-75,,394.0622,-62.9375,,394.082,107.4375,,394.082,41,,394.0621,-63.0625,,394.0622,-5.1875,,,,,394.0624,2.90625,,394.0624,-0.0625,,394.0622,-75.75,,,,,394.0622,-75.375,,
394.0821,75,,394.0824,0.0,,394.0824,-4.5,,394.102,11.875,,394.0824,-44.2,,394.0821,-75,,394.0822,-62.125,,394.102,107.5,,394.102,41,,394.0821,-61.8125,,394.0822,-5.25,,,,,394.0824,2.90625,,394.0824,0.875,,394.0822,-74.75,,,,,394.0822,-74.875,,
394.1021,75,,394.1024,0.0,,394.1024,-1.0,,394.122,11.9375,,394.1024,-45.300000000000004,,394.1021,-75,,394.1022,-62.9375,,394.122,107.4375,,394.122,41,,394.1021,-63.3125,,394.1022,-5.0625,,,,,394.1024,2.9140625,,394.1024,0.125,,394.1022,-75.75,,,,,394.1022,-75.8125,,
394.1221,75,,394.1224,0.0,,394.1224,-0.1875,,394.142,12.0625,,394.1224,-45.300000000000004,,394.1221,-75,,394.1222,-63.3125,,394.142,107.4375,,394.142,41,,394.1221,-63.3125,,394.1222,-5.0,,,,,394.1224,2.9140625,,394.1224,0.0,,394.1222,-76.1875,,,,,394.1222,-76.5625,,
394.1421,76,,394.1423,0.0,,394.1423,-0.5625,,394.1619,12.125,,394.1424,-45.6,,394.1421,-75,,394.1422,-63.6875,,394.1619,107.5,,394.1619,41,,394.1421,-63.75,,394.1422,-5.4375,,,,,394.1423,2.88671875,,394.1423,0.0,,394.1422,-76.5625,,,,,394.1422,-75.375,,
394.1621,76,,394.1623,0.0,,394.1623,0.8125,,394.1819,12.1875,,394.1624,-45.6,,394.1621,-75,,394.1622,-63.75,,394.1819,107.375,,394.1819,41,,394.1621,-63.75,,394.1622,-5.25,,,,,394.1623,2.93359375,,394.1623,-0.1875,,394.1622,-76.75,,,,,394.1622,-76.3125,,
394.1821,77,,394.1823,0.0,,394.1823,-0.5625,,394.2019,12.1875,,394.1824,-44.7,,394.1821,-75,,394.1822,-62.8125,,394.2019,107.375,,394.2019,41,,394.1821,-62.5,,394.1822,-5.25,,,,,394.1823,2.921875,,394.1823,0.0625,,394.1822,-75.5625,,,,,394.1822,-75.9375,,
394.2021,76,,394.2023,0.0,,394.2023,0.875,,394.222,12.25,,394.2024,-46.2,,394.2021,-75,,394.2022,-64.0625,,394.222,107.5,,394.222,41,,394.2021,-64.5625,,394.2022,-5.4375,,,,,394.2023,2.8984375,,394.2023,-0.25,,394.2022,-77.0625,,,,,394.2022,-75.5,,
394.2221,76,,394.2223,0.0,,394.2223,-1.1875,,394.2419,12.3125,,394.2224,-45.800000000000004,,394.2221,-75,,394.2222,-64.1875,,394.2419,107.4375,,394.2419,41,,394.2221,-64.0625,,394.2222,-5.1875,,,,,394.2223,2.93359375,,394.2223,0.1875,,394.2222,-77.25,,,,,394.2222,-77.25,,
394.2421,77,,394.2423,0.0,,394.2423,2.875,,394.2619,12.3125,,394.2424,-45.1,,394.2421,-75,,394.2422,-63.3125,,394.2619,107.5,,394.2619,41,,394.2421,-63.0625,,394.2422,-5.3125,,,,,394.2423,2.9140625,,394.2423,-0.125,,394.2422,-76.1875,,,,,394.2422,-78.5,,
394.262,78,,394.2623,0.0,,394.2623,0.125,,394.2819,12.3125,,394.2624,-46.2,,394.262,-74,,394.2622,-64.1875,,394.2819,107.375,,394.2819,41,,394.262,-64.5625,,394.2622,-5.25,,,,,394.2623,2.90625,,394.2623,-0.0625,,394.2622,-77.25,,,,,394.2622,-76.3125,,
394.2821,76,,394.2823,0.0,,394.2823,-1.375,,394.3019,12.3125,,394.2824,-45.6,,394.2821,-73,,394.2822,-64.0,,394.3019,107.375,,394.3019,41,,394.2821,-63.75,,394.2822,-5.1875,,,,,394.2823,2.93359375,,394.2823,0.25,,394.2822,-76.9375,,,,,394.2822,-77.8125,,
394.302,76,,394.3023,0.0,,394.3023,-1.6875,,394.322,12.375,,394.3024,-45.300000000000004,,394.302,-73,,394.3022,-63.4375,,394.322,107.375,,394.322,41,,394.302,-63.3125,,394.3022,-5.0,,,,,394.3023,2.9140625,,394.3023,-0.3125,,394.3022,-76.3125,,,,,394.3022,-77.1875,,
394.3222,75,,394.3224,0.0,,394.3224,1.0625,,394.3419,12.4375,,394.3225,-46.2,,394.3222,-73,,394.3223,-64.25,,394.3419,107.375,,394.3419,41,,394.3222,-64.5625,,394.3223,-5.1875,,,,,394.3224,2.87109375,,394.3224,-0.3125,,394.3223,-77.3125,,,,,394.3223,-78.25,,
394.3421,78,,394.3423,0.0,,394.3423,-0.125,,394.3619,12.4375,,394.3424,-45.6,,394.3421,-74,,394.3422,-64.0,,394.3619,107.4375,,394.3619,41,,394.3421,-63.75,,394.3422,-5.0,,,,,394.3423,2.84375,,394.3423,-0.0625,,394.3422,-76.9375,,,,,394.3422,-78.5,,
394.362,75,,394.3623,0.0,,394.3623,0.1875,,394.3819,12.4375,,394.3624,-44.2,,394.362,-75,,394.3622,-62.8125,,394.3819,107.4375,,394.3819,41,,394.362,-61.8125,,394.3622,-5.0,,,,,394.3623,2.87890625,,394.3623,-0.0625,,394.3622,-75.5625,,,,,394.3622,-77.375,,
394.382,75,,394.3823,0.0,,394.3823,-2.875,,394.4019,12.3125,,394.3824,-43.300000000000004,,394.382,-75,,394.3821,-61.1875,,394.4019,107.4375,,394.4019,41,,394.382,-60.5625,,394.3821,-5.5,,,,,394.3823,2.93359375,,394.3823,0.625,,394.3821,-73.625,,,,,394.3821,-75.5625,,
394.402,74,,394.4023,0.0,,394.4023,1.5,,394.4221,12.3125,,394.4023,-44.5,,394.402,-75,,394.4021,-61.8125,,394.4221,107.375,,394.4221,41,,394.402,-62.1875,,394.4021,-5.1875,,,,,394.4023,2.9140625,,394.4023,0.0,,394.4021,-74.375,,,,,394.4021,-74.125,,
394.4222,75,,394.4225,0.0,,394.4225,-0.875,,394.4419,12.3125,,394.4225,-46.2,,394.4222,-75,,394.4224,-63.375,,394.4419,107.4375,,394.4419,41,,394.4222,-64.5625,,394.4224,-5.25,,,,,394.4225,2.9140625,,394.4225,0.125,,394.4224,-76.25,,,,,394.4224,-75.6875,,
394.442,77,,394.4423,0.0,,394.4423,0.1875,,394.4619,12.375,,394.4424,-45.6,,394.442,-75,,394.4422,-64.1875,,394.4619,107.4375,,394.4619,41,,394.442,-63.75,,394.4422,-5.0,,,,,394.4423,2.8984375,,394.4423,-0.1875,,394.4422,-77.1875,,,,,394.4422,-78.1875,,
394.4621,77,,394.4624,0.0,,394.4624,0.25,,394.4819,12.4375,,394.4624,-45.6,,394.4621,-76,,394.4623,-63.75,,394.4819,107.4375,,394.4819,41,,394.4621,-63.75,,394.4623,-5.1875,,,,,394.4624,2.921875,,394.4624,-0.125,,394.4623,-76.75,,,,,394.4623,-77.4375,,
394.4821,76,,394.4824,0.0,,394.4824,1.375,,394.5021,12.4375,,394.4824,-45.1,,394.4821,-76,,394.4823,-63.4375,,394.5021,107.4375,,394.5021,41,,394.4821,-63.0625,,394.4823,-5.4375,,,,,394.4824,2.9140625,,394.4824,-0.375,,394.4823,-76.3125,,,,,394.4823,-76.0,,
394.5022,76,,394.5025,0.0,,394.5025,-0.3125,,394.5219,12.4375,,394.5025,-45.800000000000004,,394.5022,-76,,394.5024,-63.5625,,394.5219,107.4375,,394.5219,41,,394.5022,-64.0625,,394.5024,-5.25,,,,,394.5025,2.90625,,394.5025,0.0,,394.5024,-76.5,,,,,394.5024,-76.3125,,
394.522,76,,394.5223,0.0,,394.5223,-0.125,,394.5419,12.4375,,394.5224,-45.6,,394.522,-75,,394.5222,-63.9375,,394.5419,107.375,,394.5419,41,,394.522,-63.75,,394.5222,-5.25,,,,,394.5223,2.87890625,,394.5223,0.0,,394.5222,-76.9375,,,,,394.5222,-76.5,,
394.5421,76,,394.5424,0.0,,394.5424,1.625,,394.5619,12.4375,,394.5424,-45.300000000000004,,394.5421,-74,,394.5422,-63.5625,,394.5619,107.4375,,394.5619,41,,394.5421,-63.3125,,394.5422,-5.0,,,,,394.5424,2.81640625,,394.5424,-0.375,,394.5422,-76.4375,,,,,394.5422,-77.375,,
394.5621,76,,394.5624,0.0,,394.5624,1.25,,394.5819,12.4375,,394.5624,-44.5,,394.5621,-73,,394.5622,-62.75,,394.5819,107.375,,394.5819,41,,394.5621,-62.1875,,394.5622,-5.0625,,,,,394.5624,2.765625,,394.5624,-0.25,,394.5622,-75.5,,,,,394.5622,-76.3125,,
394.5821,74,,394.5823,0.0,,394.5823,-1.875,,394.6019,12.3125,,394.5824,-42.400000000000006,,394.5821,-74,,394.5822,-60.75,,394.6019,107.4375,,394.6019,41,,394.5821,-59.25,,394.5822,-5.125,,,,,394.5823,2.72265625,,394.5823,0.375,,394.5822,-73.0625,,,,,394.5822,-74.375,,
394.602,71,,394.6023,0.0,,394.6023,0.0625,,394.6221,12.125,,394.6023,-40.800000000000004,,394.602,-75,,394.6021,-58.1875,,394.6221,107.5,,394.6221,41,,394.602,-57.0625,,394.6021,-5.125,,,,,394.6023,2.640625,,394.6023,0.0,,394.6021,-70.0,,,,,394.6021,-71.3125,,
394.6222,68,,394.6224,0.0,,394.6224,-2.125,,394.6419,11.875,,394.6225,-39.400000000000006,,394.6222,-75,,394.6223,-56.0625,,394.6419,107.5,,394.6419,41,,394.6222,-55.0625,,394.6223,-5.1875,,,,,394.6224,2.640625,,394.6224,0.5,,394.6223,-67.5,,,,,394.6223,-68.0625,,
394.6421,66,,394.6423,0.0,,394.6423,0.0625,,394.6619,11.5625,,394.6424,-36.800000000000004,,394.6421,-76,,394.6422,-53.25,,394.6619,107.5625,,394.6619,41,,394.6421,-51.4375,,394.6422,-4.9375,,,,,394.6423,2.625,,394.6423,0.125,,394.6422,-64.0625,,,,,394.6422,-66.1875,,
394.6621,62,,394.6623,0.0,,394.6623,0.625,,394.682,11.1875,,394.6624,-36.800000000000004,,394.6621,-75,,394.6622,-51.4375,,394.682,107.5,,394.682,41,,394.6621,-51.4375,,394.6622,-4.9375,,,,,394.6623,2.60546875,,394.6623,0.0625,,394.6622,-61.9375,,,,,394.6622,-62.5625,,
394.6822,62,,394.6824,0.0,,394.6824,0.4375,,394.7019,10.875,,394.6825,-36.300000000000004,,394.6822,-75,,394.6823,-51.125,,394.7019,107.5,,394.7019,41,,394.6822,-50.75,,394.6823,-4.9375,,,,,394.6824,2.6171875,,394.6824,0.0625,,394.6823,-61.5,,,,,394.6823,-61.8125,,
394.7021,60,,394.7023,0.0,,394.7023,2.125,,394.7221,10.5625,,394.7024,-35.6,,394.7021,-74,,394.7022,-50.25,,394.7221,107.5625,,394.7221,41,,394.7021,-49.75,,394.7022,-5.125,,,,,394.7023,2.6171875,,394.7023,-0.3125,,394.7022,-60.5,,,,,394.7022,-59.8125,,
394.7222,59,,394.7224,0.0,,394.7224,0.0625,,394.7418,10.3125,,394.7225,-36.0,,394.7222,-74,,394.7223,-50.0625,,394.7418,107.625,,394.7418,41,,394.7222,-50.3125,,394.7223,-4.875,,,,,394.7224,2.6171875,,394.7224,0.125,,394.7223,-60.1875,,,,,394.7223,-60.3125,,
394.742,61,,394.7422,0.0,,394.7422,0.6875,,394.762,10.125,,394.7423,-36.0,,394.742,-75,,394.7421,-50.3125,,394.762,107.625,,394.762,41,,394.742,-50.3125,,394.7421,-4.875,,,,,394.7422,2.625,,394.7422,-0.0625,,394.7421,-60.5625,,,,,394.7421,-60.625,,
394.7621,60,,394.7624,0.0,,394.7624,0.1875,,394.782,9.9375,,394.7624,-36.0,,394.7621,-75,,394.7623,-50.3125,,394.782,107.5,,394.782,41,,394.7621,-50.3125,,394.7623,-4.625,,,,,394.7624,2.58984375,,394.7624,0.125,,394.7623,-60.5625,,,,,394.7623,-61.75,,
394.7822,61,,394.7824,0.0,,394.7824,-0.9375,,394.8018,9.8125,,394.7825,-36.300000000000004,,394.7822,-75,,394.7823,-50.5625,,394.8018,107.5625,,394.8018,41,,394.7822,-50.75,,394.7823,-4.6875,,,,,394.7824,2.51171875,,394.7824,0.3125,,394.7823,-60.8125,,,,,394.7823,-61.5,,
394.802,60,,394.8022,0.0,,394.8022,0.125,,394.822,9.75,,394.8023,-35.1,,394.802,-76,,394.8021,-49.9375,,394.822,107.5625,,394.822,41,,394.802,-49.0625,,394.8021,-4.8125,,,,,394.8022,2.44921875,,394.8022,0.0625,,394.8021,-60.0625,,,,,394.8021,-61.0625,,
394.8221,59,,394.8224,0.0,,394.8224,-0.8125,,394.842,9.5,,394.8224,-32.6,,394.8221,-76,,394.8223,-47.3125,,394.842,107.625,,394.842,41,,394.8221,-45.5625,,394.8223,-4.8125,,,,,394.8224,2.44921875,,394.8224,0.375,,394.8223,-56.9375,,,,,394.8223,-58.75,,
394.8421,55,,394.8424,0.0,,394.8424,-1.375,,394.862,9.25,,394.8424,-30.6,,394.8421,-76,,394.8423,-44.1875,,394.862,107.6875,,394.862,41,,394.8421,-42.75,,394.8423,-4.6875,,,,,394.8424,2.4140625,,394.8424,0.5625,,394.8423,-53.125,,,,,394.8423,-55.1875,,
394.8621,50,,394.8624,0.0,,394.8624,0.0625,,394.8818,8.9375,,394.8624,-30.6,,394.8621,-75,,394.8623,-42.75,,394.8818,107.6875,,394.8818,41,,394.8621,-42.75,,394.8623,-4.8125,,,,,394.8624,2.44921875,,394.8624,0.375,,394.8623,-51.4375,,,,,394.8623,-51.375,,
394.8819,50,,394.8822,0.0,,394.8822,1.25,,394.9018,8.625,,394.8823,-29.5,,394.8819,-74,,394.8821,-42.0,,394.9018,107.6875,,394.9018,41,,394.8819,-41.25,,394.8821,-4.75,,,,,394.8822,2.44140625,,394.8822,0.125,,394.8821,-50.5625,,,,,394.8821,-50.75,,
394.902,50,,394.9022,0.0,,394.9022,-0.4375,,394.922,8.375,,394.9023,-30.6,,394.902,-73,,394.9021,-42.0,,394.922,107.6875,,394.922,41,,394.902,-42.75,,394.9021,-4.5,,,,,394.9022,2.38671875,,394.9022,0.4375,,394.9021,-50.5625,,,,,394.9021,-50.875,,
394.9221,50,,394.9224,0.0,,394.9224,-0.25,,394.942,8.1875,,394.9224,-30.3,,394.9221,-73,,394.9222,-42.5625,,394.942,107.6875,,394.942,41,,394.9221,-42.375,,394.9222,-4.5625,,,,,394.9224,2.37109375,,394.9224,0.3125,,394.9222,-51.25,,,,,394.9222,-51.5,,
394.9421,49,,394.9423,0.0,,394.9423,0.0625,,394.9618,8.0,,394.9424,-28.6,,394.9421,-73,,394.9422,-41.1875,,394.9618,107.75,,394.9618,41,,394.9421,-40.0,,394.9422,-4.75,,,,,394.9423,2.37890625,,394.9423,0.3125,,394.9422,-49.5625,,,,,394.9422,-49.6875,,
394.962,49,,394.9622,0.0,,394.9622,0.4375,,394.9818,7.8125,,394.9623,-28.1,,394.962,-73,,394.9621,-39.625,,394.9818,107.6875,,394.9818,41,,394.962,-39.25,,394.9621,-4.75,,,,,394.9622,2.38671875,,394.9622,0.25,,394.9621,-47.6875,,,,,394.9621,-47.5,,
394.982,48,,394.9822,0.0,,394.9822,-1.9375,,395.0018,7.625,,394.9823,-28.3,,394.982,-74,,394.9821,-39.4375,,395.0018,107.6875,,395.0018,41,,394.982,-39.5625,,394.9821,-4.4375,,,,,394.9822,2.4140625,,394.9822,0.75,,394.9821,-47.4375,,,,,394.9821,-48.3125,,
395.002,47,,395.0022,0.0,,395.0022,0.8125,,395.0218,7.5,,395.0023,-28.6,,395.002,-74,,395.0021,-39.8125,,395.0218,107.625,,395.0218,41,,395.002,-40.0,,395.0021,-4.5,,,,,395.0022,2.39453125,,395.0022,0.125,,395.0021,-47.875,,,,,395.0021,-48.1875,,
395.022,47,,395.0222,0.0,,395.0222,-1.1875,,395.0418,7.375,,395.0223,-29.5,,395.022,-74,,395.0221,-40.625,,395.0418,107.6875,,395.0418,41,,395.022,-41.25,,395.0221,-4.6875,,,,,395.0222,2.40625,,395.0222,0.5625,,395.0221,-48.9375,,,,,395.0221,-48.125,,
395.042,50,,395.0422,0.0,,395.0422,0.375,,395.0619,7.3125,,395.0423,-28.8,,395.042,-74,,395.0421,-40.75,,395.0619,107.6875,,395.0619,41,,395.042,-40.25,,395.0421,-4.5625,,,,,395.0422,2.39453125,,395.0422,0.1875,,395.0421,-49.0625,,,,,395.0421,-49.8125,,
395.0621,49,,395.0623,0.0,,395.0623,0.125,,395.0819,7.25,,395.0624,-29.200000000000003,,395.0621,-74,,395.0622,-40.5625,,395.0819,107.75,,395.0819,41,,395.0621,-40.8125,,395.0622,-4.625,,,,,395.0623,2.421875,,395.0623,0.25,,395.0622,-48.8125,,,,,395.0622,-48.6875,,
395.0821,48,,395.0823,0.0,,395.0823,-1.4375,,395.1019,7.1875,,395.0824,-28.8,,395.0821,-74,,395.0822,-40.5625,,395.1019,107.6875,,395.1019,41,,395.0821,-40.25,,395.0822,-4.4375,,,,,395.0823,2.40625,,395.0823,0.5625,,395.0822,-48.8125,,,,,395.0822,-49.6875,,
395.1021,49,,395.1023,0.0,,395.1023,3.0625,,395.1219,7.1875,,395.1024,-29.700000000000003,,395.1021,-73,,395.1022,-40.875,,395.1219,107.75,,395.1219,41,,395.1021,-41.5,,395.1022,-4.5625,,,,,395.1023,2.4296875,,395.1023,-0.25,,395.1022,-49.1875,,,,,395.1022,-49.6875,,
395.122,50,,395.1223,0.0,,395.1223,-0.6875,,395.1419,7.125,,395.1224,-29.200000000000003,,395.122,-72,,395.1222,-41.1875,,395.1419,107.6875,,395.1419,41,,395.122,-40.8125,,395.1222,-4.5,,,,,395.1223,2.4140625,,395.1223,0.375,,395.1222,-49.5625,,,,,395.1222,-48.8125,,
395.142,49,,395.1423,0.0,,395.1423,0.6875,,395.1619,7.125,,395.1424,-30.0,,395.142,-72,,395.1422,-41.375,,395.1619,107.6875,,395.1619,41,,395.142,-41.9375,,395.1422,-4.375,,,,,395.1423,2.39453125,,395.1423,0.125,,395.1422,-49.8125,,,,,395.1422,-50.6875,,
395.162,50,,395.1623,0.0,,395.1623,-0.4375,,395.1819,7.125,,395.1624,-29.5,,395.162,-72,,395.1622,-41.625,,395.1819,107.6875,,395.1819,41,,395.162,-41.25,,395.1622,-4.5,,,,,395.1623,2.38671875,,395.1623,0.25,,395.1622,-50.0625,,,,,395.1622,-50.5625,,
395.182,48,,395.1823,0.0,,395.1823,-0.3125,,395.2019,7.125,,395.1824,-28.8,,395.182,-72,,395.1822,-40.75,,395.2019,107.75,,395.2019,41,,395.182,-40.25,,395.1822,-4.375,,,,,395.1823,2.40625,,395.1823,0.3125,,395.1822,-49.0625,,,,,395.1822,-50.1875,,
395.202,50,,395.2023,0.0,,395.2023,0.6875,,395.2219,7.0625,,395.2024,-28.6,,395.202,-72,,395.2021,-40.125,,395.2219,107.6875,,395.2219,41,,395.202,-40.0,,395.2021,-4.5625,,,,,395.2023,2.4296875,,395.2023,0.3125,,395.2021,-48.3125,,,,,395.2021,-48.8125,,
395.2221,48,,395.2223,0.0,,395.2223,1.1875,,395.2419,7.0625,,395.2224,-29.200000000000003,,395.2221,-72,,395.2222,-40.4375,,395.2419,107.6875,,395.2419,41,,395.2221,-40.8125,,395.2222,-4.4375,,,,,395.2223,2.37890625,,395.2223,0.0625,,395.2222,-48.625,,,,,395.2222,-48.9375,,
395.2421,51,,395.2423,0.0,,395.2423,0.125,,395.2619,7.0625,,395.2424,-30.0,,395.2421,-73,,395.2422,-41.375,,395.2619,107.6875,,395.2619,41,,395.2421,-41.9375,,395.2422,-4.25,,,,,395.2423,2.4140625,,395.2423,0.1875,,395.2422,-49.8125,,,,,395.2422,-51.1875,,
395.2622,49,,395.2624,0.0,,395.2624,-0.4375,,395.2819,7.0625,,395.2625,-28.3,,395.2622,-73,,395.2623,-40.75,,395.2819,107.6875,,395.2819,41,,395.2622,-39.5625,,395.2623,-4.75,,,,,395.2624,2.4140625,,395.2624,0.3125,,395.2623,-49.0625,,,,,395.2623,-49.0,,
395.2821,49,,395.2823,0.0,,395.2823,2.875,,395.3019,7.0,,395.2824,-29.5,,395.2821,-73,,395.2822,-40.4375,,395.3019,107.6875,,395.3019,41,,395.2821,-41.25,,395.2822,-4.5,,,,,395.2823,2.39453125,,395.2823,-0.3125,,395.2822,-48.625,,,,,395.2822,-48.875,,
