Time (s),0x0082_Supply_critical  ,,Time (s),0x0082_DSP_param  ,,Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),0x0081_Motor_slave_in_wrong_state  ,,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
,,,,,,343.5449,-2.375,,343.5395,0,,343.5398,0.0,,343.5393,0.0,,343.5398,0.375,,343.5393,600,,343.545,-1.375,,343.5446,115.1875,,343.5394,0.0,,343.5448,0.0,,343.5395,0,,343.5397,0.0,,343.5445,0,,343.5445,0.0,,343.5445,1079,,343.5393,600,,343.5449,0.0,,343.5393,527,,343.5445,0.0,,343.5393,0.0,,343.5448,0,,343.545,0.0,,343.5394,115.3125,,343.5394,27,,343.5446,27,,343.5397,0.0,,343.5395,0.0,,,,,343.5449,0.0,,343.5446,0.0,,343.5445,0,,,,,343.5449,0.0,,343.5398,1.296875,,343.545,0.0,,343.5445,1079,,343.5398,0.0,,343.5393,527,,343.5397,0.0,,,,,343.545,0.0,,343.5397,0.25,,
,,,,,,343.5649,0.0,,343.5597,0,,343.5599,0.0,,343.5594,0.0,,343.5599,-0.125,,343.5594,600,,343.565,-0.375,,343.5647,115.1875,,343.5595,0.0,,343.5648,0.0,,343.5597,0,,343.5598,0.0,,343.5646,0,,343.5646,0.0,,343.5646,1079,,343.5594,600,,343.5649,0.0,,343.5594,527,,343.5646,0.0,,343.5594,0.0,,343.5648,0,,343.565,0.0,,343.5595,115.3125,,343.5595,27,,343.5647,27,,343.5598,0.0,,343.5597,0.0,,,,,343.5649,0.0,,343.5647,0.0,,343.5646,0,,,,,343.5649,0.0,,343.5599,1.2734375,,343.565,0.0,,343.5646,1079,,343.5599,0.0,,343.5594,527,,343.5598,0.0,,,,,343.565,0.0,,343.5598,1.125,,
,,,,,,343.5849,-1.5,,343.5797,0,,343.5799,0.0,,343.5795,0.0,,343.5799,-0.125,,343.5795,600,,343.585,-0.875,,343.5847,115.1875,,343.5796,0.0,,343.5848,0.0,,343.5797,0,,343.5798,0.0,,343.5846,0,,343.5846,0.0,,343.5846,1079,,343.5795,600,,343.5849,0.0,,343.5795,527,,343.5846,0.0,,343.5795,0.0,,343.5848,0,,343.585,0.0,,343.5796,115.25,,343.5796,27,,343.5847,27,,343.5798,0.0,,343.5797,0.0,,,,,343.5849,0.0,,343.5847,0.0,,343.5846,0,,,,,343.5849,0.0,,343.5799,1.296875,,343.585,0.0,,343.5846,1079,,343.5799,0.0,,343.5795,527,,343.5798,0.0,,,,,343.585,0.0,,343.5798,0.5,,
,,,,,,343.6049,0.875,,343.5997,0,,343.5999,0.0,,343.5995,0.0,,343.5999,-0.625,,343.5995,600,,343.605,-0.375,,343.6046,115.1875,,343.5996,0.0,,343.6048,0.0,,343.5997,0,,343.5998,0.0,,343.6046,0,,343.6046,0.0,,343.6046,1079,,343.5995,600,,343.6049,0.0,,343.5995,527,,343.6046,0.0,,343.5995,0.0,,343.6048,0,,343.605,0.0,,343.5996,115.3125,,343.5996,27,,343.6046,27,,343.5998,0.0,,343.5997,0.0,,,,,343.6049,0.0,,343.6046,0.0,,343.6046,0,,,,,343.6049,0.0,,343.5999,1.31640625,,343.605,0.0,,343.6046,1079,,343.5999,0.0,,343.5995,527,,343.5998,0.0,,,,,343.605,0.0,,343.5998,0.8125,,
,,,,,,343.6249,0.625,,343.6197,0,,343.6199,0.0,,343.6195,0.0,,343.6199,-0.625,,343.6195,600,,343.625,0.625,,343.6246,115.125,,343.6196,0.0,,343.6247,0.0,,343.6197,0,,343.6198,0.0,,343.6245,0,,343.6245,0.0,,343.6245,1079,,343.6195,600,,343.6249,0.0,,343.6195,527,,343.6245,0.0,,343.6195,0.0,,343.6247,0,,343.625,0.0,,343.6196,115.3125,,343.6196,27,,343.6246,27,,343.6198,0.0,,343.6197,0.0,,,,,343.6249,0.0,,343.6246,0.0,,343.6245,0,,,,,343.6249,0.0,,343.6199,1.28125,,343.625,0.0,,343.6245,1079,,343.6199,0.0,,343.6195,527,,343.6198,0.0,,,,,343.625,0.0,,343.6198,-0.375,,
,,,,,,343.6449,-0.3125,,343.6397,0,,343.6399,0.0,,343.6394,0.0,,343.6399,0.375,,343.6394,600,,343.645,0.125,,343.6446,115.1875,,343.6395,0.0,,343.6448,0.0,,343.6397,0,,343.6398,0.0,,343.6445,0,,343.6445,0.0,,343.6445,1079,,343.6394,600,,343.6449,0.0,,343.6394,527,,343.6445,0.0,,343.6394,0.0,,343.6448,0,,343.645,0.0,,343.6395,115.375,,343.6395,27,,343.6446,27,,343.6398,0.0,,343.6397,0.0,,,,,343.6449,0.0,,343.6446,0.0,,343.6445,0,,,,,343.6449,0.0,,343.6399,1.296875,,343.645,0.0,,343.6445,1079,,343.6399,0.0,,343.6394,527,,343.6398,0.0,,,,,343.645,0.0,,343.6398,-0.375,,
,,,,,,343.6649,0.0,,343.6597,0,,343.6599,0.0,,343.6594,0.0,,343.6599,0.375,,343.6594,600,,343.665,-0.375,,343.6646,115.125,,343.6595,0.0,,343.6648,0.0,,343.6597,0,,343.6598,0.0,,343.6645,0,,343.6645,0.0,,343.6645,1079,,343.6594,600,,343.6649,0.0,,343.6594,527,,343.6645,0.0,,343.6594,0.0,,343.6648,0,,343.665,0.0,,343.6595,115.3125,,343.6595,27,,343.6646,27,,343.6598,0.0,,343.6597,0.0,,,,,343.6649,0.0,,343.6646,0.0,,343.6645,0,,,,,343.6649,0.0,,343.6599,1.296875,,343.665,0.0,,343.6645,1079,,343.6599,0.0,,343.6594,527,,343.6598,0.0,,,,,343.665,0.0,,343.6598,0.25,,
,,,,,,343.6849,0.625,,343.6797,0,,343.6799,0.0,,343.6794,0.0,,343.6799,-0.625,,343.6794,600,,343.685,0.625,,343.6846,115.1875,,343.6795,0.0,,343.6847,0.0,,343.6797,0,,343.6798,0.0,,343.6845,0,,343.6845,0.0,,343.6845,1079,,343.6794,600,,343.6849,0.0,,343.6794,527,,343.6845,0.0,,343.6794,0.0,,343.6847,0,,343.685,0.0,,343.6795,115.3125,,343.6795,27,,343.6846,27,,343.6798,0.0,,343.6797,0.0,,,,,343.6849,0.0,,343.6846,0.0,,343.6845,0,,,,,343.6849,0.0,,343.6799,1.30859375,,343.685,0.0,,343.6845,1079,,343.6799,0.0,,343.6794,527,,343.6798,0.0,,,,,343.685,0.0,,343.6798,0.8125,,
,,,,,,343.7049,0.0,,343.6997,0,,343.6999,0.0,,343.6994,0.0,,343.6999,-0.125,,343.6994,600,,343.705,0.6875,,343.7046,115.125,,343.6995,0.0,,343.7047,0.0,,343.6997,0,,343.6998,0.0,,343.7045,0,,343.7045,0.0,,343.7045,1079,,343.6994,600,,343.7049,0.0,,343.6994,527,,343.7045,0.0,,343.6994,0.0,,343.7047,0,,343.705,0.0,,343.6995,115.3125,,343.6995,27,,343.7046,27,,343.6998,0.0,,343.6997,0.0,,,,,343.7049,0.0,,343.7046,0.0,,343.7045,0,,,,,343.7049,0.0,,343.6999,1.32421875,,343.705,0.0,,343.7045,1079,,343.6999,0.0,,343.6994,527,,343.6998,0.0,,,,,343.705,0.0,,343.6998,1.6875,,
,,,,,,343.7249,-1.1875,,343.7196,0,,343.7199,0.0,,343.7194,0.0,,343.7199,-0.625,,343.7194,600,,343.725,-1.4375,,343.7246,115.1875,,343.7195,0.0,,343.7247,0.0,,343.7196,0,,343.7198,0.0,,343.7245,0,,343.7245,0.0,,343.7245,1079,,343.7194,600,,343.7249,0.0,,343.7194,527,,343.7245,0.0,,343.7194,0.0,,343.7247,0,,343.725,0.0,,343.7195,115.3125,,343.7195,27,,343.7246,27,,343.7198,0.0,,343.7196,0.0,,,,,343.7249,0.0,,343.7246,0.0,,343.7245,0,,,,,343.7249,0.0,,343.7199,1.32421875,,343.725,0.0,,343.7245,1079,,343.7199,0.0,,343.7194,527,,343.7198,0.0,,,,,343.725,0.0,,343.7198,0.8125,,
