Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
879.4423,0.0,,879.4408,0,,879.4411,0.0,,879.4406,0.0,,879.4411,-0.375,,879.4406,650,,879.4424,-0.3125,,879.442,106.0,,879.4407,0.0,,879.4422,0.0,,879.4408,0,,879.4409,0.0,,879.4419,0,,879.4419,0.0,,879.4419,1079,,879.4406,650,,0.0,0,,879.4423,0.0,,879.4406,1039,,879.4419,0.0,,879.4406,0.0,,879.4422,0,,879.4424,0.0,,879.4407,106.0,,879.4407,28,,879.442,28,,879.4409,0.0,,879.4408,0.0,,879.4423,0.0,,879.442,0.0,,879.4419,0,,879.4423,0.0,,879.4411,1.34375,,879.4424,0.0,,879.4419,1079,,879.4411,0.0,,879.4406,1039,,879.4409,0.0,,879.4424,0.0,,879.4409,-1.0,,
879.4623,1.0625,,879.4609,0,,879.4612,0.0,,879.4607,0.0,,879.4612,0.0,,879.4607,650,,879.4624,1.1875,,879.462,105.9375,,879.4608,0.0,,879.4621,0.0,,879.4609,0,,879.461,0.0,,879.4619,0,,879.4619,0.0,,879.4619,1079,,879.4607,650,,284.653,"0x4681 (0x00 0x00 0x00)",,879.4623,0.0,,879.4607,1039,,879.4619,0.0,,879.4607,0.0,,879.4621,0,,879.4624,0.0,,879.4608,106.0625,,879.4608,28,,879.462,28,,879.461,0.0,,879.4609,0.0,,879.4623,0.0,,879.462,0.0,,879.4619,0,,879.4623,0.0,,879.4612,1.34375,,879.4624,0.0,,879.4619,1079,,879.4612,0.0,,879.4607,1039,,879.461,0.0,,879.4624,0.0,,879.461,0.0,,
879.4822,-0.625,,879.4808,0,,879.4811,0.0,,879.4806,0.0,,879.4811,0.125,,879.4806,650,,879.4823,-1.3125,,879.482,105.875,,879.4807,0.0,,879.4821,0.0,,879.4808,0,,879.4809,0.0,,879.4819,0,,879.4819,0.0,,879.4819,1079,,879.4806,650,,284.653,0,,879.4822,0.0,,879.4806,1039,,879.4819,0.0,,879.4806,0.0,,879.4821,0,,879.4823,0.0,,879.4807,106.0625,,879.4807,28,,879.482,28,,879.4809,0.0,,879.4808,0.0,,879.4822,0.0,,879.482,0.0,,879.4819,0,,879.4822,0.0,,879.4811,1.32421875,,879.4823,0.0,,879.4819,1079,,879.4811,0.0,,879.4806,1039,,879.4809,0.0,,879.4823,0.0,,879.4809,-0.625,,
879.5023,-0.25,,879.5008,0,,879.501,0.0,,879.5006,0.0,,879.501,-0.9375,,879.5006,650,,879.5024,-0.6875,,879.502,105.9375,,879.5007,0.0,,879.5021,0.0,,879.5008,0,,879.5009,0.0,,879.5019,0,,879.5019,0.0,,879.5019,1079,,879.5006,650,,284.653,1,,879.5023,0.0,,879.5006,1039,,879.5019,0.0,,879.5006,0.0,,879.5021,0,,879.5024,0.0,,879.5007,106.0625,,879.5007,28,,879.502,28,,879.5009,0.0,,879.5008,0.0,,879.5023,0.0,,879.502,0.0,,879.5019,0,,879.5023,0.0,,879.501,1.33203125,,879.5024,0.0,,879.5019,1079,,879.501,0.0,,879.5006,1039,,879.5009,0.0,,879.5024,0.0,,879.5009,-0.75,,
879.5223,-0.0625,,879.5209,0,,879.5211,0.0,,879.5206,0.0,,879.5211,-0.8125,,879.5206,650,,879.5224,-0.1875,,879.522,105.9375,,879.5207,0.0,,879.5222,0.0,,879.5209,0,,879.521,0.0,,879.5219,0,,879.5219,0.0,,879.5219,1079,,879.5206,650,,824.6595,1,,879.5223,0.0,,879.5206,1039,,879.5219,0.0,,879.5206,0.0,,879.5222,0,,879.5224,0.0,,879.5207,106.0625,,879.5207,28,,879.522,28,,879.521,0.0,,879.5209,0.0,,879.5223,0.0,,879.522,0.0,,879.5219,0,,879.5223,0.0,,879.5211,1.3515625,,879.5224,0.0,,879.5219,1079,,879.5211,0.0,,879.5206,1039,,879.521,0.0,,879.5224,0.0,,879.521,-1.375,,
879.5423,-0.9375,,879.5408,0,,879.5411,0.0,,879.5406,0.0,,879.5411,0.0,,879.5406,650,,879.5424,-0.75,,879.542,105.9375,,879.5407,0.0,,879.5421,0.0,,879.5408,0,,879.541,0.0,,879.5419,0,,879.5419,0.0,,879.5419,1079,,879.5406,650,,824.6595,0,,879.5423,0.0,,879.5406,1039,,879.5419,0.0,,879.5406,0.0,,879.5421,0,,879.5424,0.0,,879.5407,106.0625,,879.5407,28,,879.542,28,,879.541,0.0,,879.5408,0.0,,879.5423,0.0,,879.542,0.0,,879.5419,0,,879.5423,0.0,,879.5411,1.32421875,,879.5424,0.0,,879.5419,1079,,879.5411,0.0,,879.5406,1039,,879.541,0.0,,879.5424,0.0,,879.541,0.0,,
879.5623,0.3125,,879.5609,0,,879.5611,0.0,,879.5606,0.0,,879.5611,0.375,,879.5606,650,,879.5624,0.25,,879.562,105.9375,,879.5607,0.0,,879.5622,0.0,,879.5609,0,,879.561,0.0,,879.5619,0,,879.5619,0.0,,879.5619,1079,,879.5606,650,,928.9237,0,,879.5623,0.0,,879.5606,1039,,879.5619,0.0,,879.5606,0.0,,879.5622,0,,879.5624,0.0,,879.5607,106.125,,879.5607,28,,879.562,28,,879.561,0.0,,879.5609,0.0,,879.5623,0.0,,879.562,0.0,,879.5619,0,,879.5623,0.0,,879.5611,1.3515625,,879.5624,0.0,,879.5619,1079,,879.5611,0.0,,879.5606,1039,,879.561,0.0,,879.5624,0.0,,879.561,0.875,,
879.5823,0.125,,879.5808,0,,879.581,0.0,,879.5806,0.0,,879.581,-0.375,,879.5806,650,,879.5824,0.8125,,879.5821,105.9375,,879.5807,0.0,,879.5822,0.0,,879.5808,0,,879.5809,0.0,,879.5819,0,,879.5819,0.0,,879.5819,1079,,879.5806,650,,,,,879.5823,0.0,,879.5806,1039,,879.5819,0.0,,879.5806,0.0,,879.5822,0,,879.5824,0.0,,879.5807,106.0625,,879.5807,28,,879.5821,28,,879.5809,0.0,,879.5808,0.0,,879.5823,0.0,,879.5821,0.0,,879.5819,0,,879.5823,0.0,,879.581,1.33203125,,879.5824,0.0,,879.5819,1079,,879.581,0.0,,879.5806,1039,,879.5809,0.0,,879.5824,0.0,,879.5809,-1.0,,
879.6023,0.3125,,879.6008,0,,879.6011,0.0,,879.6006,0.0,,879.6011,-0.25,,879.6006,650,,879.6024,0.25,,879.602,105.9375,,879.6007,0.0,,879.6022,0.0,,879.6008,0,,879.6009,0.0,,879.6019,0,,879.6019,0.0,,879.6019,1079,,879.6006,650,,,,,879.6023,0.0,,879.6006,1039,,879.6019,0.0,,879.6006,0.0,,879.6022,0,,879.6024,0.0,,879.6007,106.0625,,879.6007,28,,879.602,28,,879.6009,0.0,,879.6008,0.0,,879.6023,0.0,,879.602,0.0,,879.6019,0,,879.6023,0.0,,879.6011,1.28125,,879.6024,0.0,,879.6019,1079,,879.6011,0.0,,879.6006,1039,,879.6009,0.0,,879.6024,0.0,,879.6009,1.6875,,
879.6224,-0.125,,879.6211,0,,879.6213,0.0,,879.6208,0.0,,879.6213,-0.375,,879.6208,650,,879.6225,1.375,,879.6221,105.9375,,879.621,0.0,,879.6223,0.0,,879.6211,0,,879.6212,0.0,,879.6221,0,,879.6221,0.0,,879.6221,1079,,879.6208,650,,,,,879.6224,0.0,,879.6208,1039,,879.6221,0.0,,879.6208,0.0,,879.6223,0,,879.6225,0.0,,879.621,106.0,,879.621,28,,879.6221,28,,879.6212,0.0,,879.6211,0.0,,879.6224,0.0,,879.6221,0.0,,879.6221,0,,879.6224,0.0,,879.6213,1.2734375,,879.6225,0.0,,879.6221,1079,,879.6213,0.0,,879.6208,1039,,879.6212,0.0,,879.6225,0.0,,879.6212,-1.0,,
