Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
10	03/05 12:38:39	#498 000:00:51:32	0.0	4.3	4.3	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
11	03/05 12:38:40	#498 000:00:51:33	0.0	6.2	6.2	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
12	03/05 12:38:41	#498 000:00:51:34	0.0	5.7	5.7	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
13	03/05 12:38:42	#498 000:00:51:35	0.0	2.8	2.8	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
14	03/05 12:38:43	#498 000:00:51:36	0.0	2.7	2.7	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
15	03/05 12:38:44	#498 000:00:51:37	0.0	3.0	3.0	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
16	03/05 12:38:45	#498 000:00:51:38	0.0	2.8	2.8	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
17	03/05 12:38:46	#498 000:00:51:39	0.0	2.8	2.8	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
18	03/05 12:38:47	#498 000:00:51:40	0.0	2.7	2.7	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
19	03/05 12:38:48	#498 000:00:51:41	0.0	2.8	2.8	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
20	03/05 12:38:49	#498 000:00:51:42	0.0	3.2	3.2	114.9	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	19	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
21	03/05 12:38:50	#498 000:00:51:43	0.0	2.7	2.7	114.9	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	19	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
22	03/05 12:38:51	#498 000:00:51:44	0.0	3.3	3.3	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.10	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
23	03/05 12:38:52	#498 000:00:51:45	0.0	3.0	3.0	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
24	03/05 12:38:53	#498 000:00:51:46	0.0	2.8	2.8	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	1	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
