Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
929.4911,-0.3125,,929.489,0,,929.4892,0.0,,929.5088,0.0,,929.4892,0.8125,,929.5088,0,,929.4912,-1.625,,929.4909,115.1875,,929.509,0.0,,929.491,0.0,,929.489,0,,929.4891,0.0,,929.4908,0,,929.4908,0.0,,929.4908,1079,,929.5088,0,,929.4911,0.0,,929.5088,32783,,929.4908,0.0,,929.5088,0.0,,929.491,0,,929.4912,0.0,,929.509,115.3125,,929.509,28,,929.4909,28,,929.4891,0.0,,929.489,0.0,,929.4911,0.0,,929.4909,0.0,,929.4908,0,,929.4911,0.0,,929.4892,1.30859375,,929.4912,0.0,,929.4908,1079,,929.4892,0.0,,929.5088,32783,,929.4891,0.0,,929.4912,0.0,,929.4891,1.25,,
929.5111,0.5625,,929.5091,0,,929.5094,0.0,,929.5288,0.0,,929.5094,-1.25,,929.5288,0,,929.5112,0.4375,,929.5108,115.125,,929.5289,0.0,,929.511,0.0,,929.5091,0,,929.5092,0.0,,929.5108,0,,929.5108,0.0,,929.5108,1079,,929.5288,0,,929.5111,0.0,,929.5288,32783,,929.5108,0.0,,929.5288,0.0,,929.511,0,,929.5112,0.0,,929.5289,115.25,,929.5289,28,,929.5108,28,,929.5092,0.0,,929.5091,0.0,,929.5111,0.0,,929.5108,0.0,,929.5108,0,,929.5111,0.0,,929.5094,1.30859375,,929.5112,0.0,,929.5108,1079,,929.5094,0.0,,929.5288,32783,,929.5092,0.0,,929.5112,0.0,,929.5092,0.0625,,
929.5311,0.0,,929.5291,0,,929.5293,0.0,,929.5488,0.0,,929.5293,-1.25,,929.5488,0,,929.5312,-0.5625,,929.5308,115.125,,929.549,0.0,,929.5309,0.0,,929.5291,0,,929.5292,0.0,,929.5307,0,,929.5307,0.0,,929.5307,1079,,929.5488,0,,929.5311,0.0,,929.5488,32783,,929.5307,0.0,,929.5488,0.0,,929.5309,0,,929.5312,0.0,,929.549,115.25,,929.549,28,,929.5308,28,,929.5292,0.0,,929.5291,0.0,,929.5311,0.0,,929.5308,0.0,,929.5307,0,,929.5311,0.0,,929.5293,1.34375,,929.5312,0.0,,929.5307,1079,,929.5293,0.0,,929.5488,32783,,929.5292,0.0,,929.5312,0.0,,929.5292,-1.0625,,
929.5511,-0.3125,,929.5491,0,,929.5493,0.0,,929.569,0.0,,929.5493,-0.1875,,929.569,0,,929.5511,0.9375,,929.5508,115.125,,929.5691,0.0,,929.551,0.0,,929.5491,0,,929.5492,0.0,,929.5507,0,,929.5507,0.0,,929.5507,1079,,929.569,0,,929.5511,0.0,,929.569,32783,,929.5507,0.0,,929.569,0.0,,929.551,0,,929.5511,0.0,,929.5691,115.25,,929.5691,28,,929.5508,28,,929.5492,0.0,,929.5491,0.0,,929.5511,0.0,,929.5508,0.0,,929.5507,0,,929.5511,0.0,,929.5493,1.30859375,,929.5511,0.0,,929.5507,1079,,929.5493,0.0,,929.569,32783,,929.5492,0.0,,929.5511,0.0,,929.5492,-1.0625,,
929.5711,-0.625,,929.5692,0,,929.5695,0.0,,929.5888,0.0,,929.5695,-1.25,,929.5888,0,,929.5712,0.5,,929.5708,115.125,,929.5889,0.0,,929.5709,0.0,,929.5692,0,,929.5693,0.0,,929.5707,0,,929.5707,0.0,,929.5707,1079,,929.5888,0,,929.5711,0.0,,929.5888,32783,,929.5707,0.0,,929.5888,0.0,,929.5709,0,,929.5712,0.0,,929.5889,115.25,,929.5889,28,,929.5708,28,,929.5693,0.0,,929.5692,0.0,,929.5711,0.0,,929.5708,0.0,,929.5707,0,,929.5711,0.0,,929.5695,1.2890625,,929.5712,0.0,,929.5707,1079,,929.5695,0.0,,929.5888,32783,,929.5693,0.0,,929.5712,0.0,,929.5693,-0.5,,
929.591,-0.3125,,929.589,0,,929.5893,0.0,,929.609,0.0,,929.5893,-0.1875,,929.609,0,,929.5911,0.9375,,929.5908,115.1875,,929.6091,0.0,,929.5909,0.0,,929.589,0,,929.5892,0.0,,929.5907,0,,929.5907,0.0,,929.5907,1079,,929.609,0,,929.591,0.0,,929.609,32783,,929.5907,0.0,,929.609,0.0,,929.5909,0,,929.5911,0.0,,929.6091,115.25,,929.6091,28,,929.5908,28,,929.5892,0.0,,929.589,0.0,,929.591,0.0,,929.5908,0.0,,929.5907,0,,929.591,0.0,,929.5893,1.30859375,,929.5911,0.0,,929.5907,1079,,929.5893,0.0,,929.609,32783,,929.5892,0.0,,929.5911,0.0,,929.5892,-0.5,,
929.6111,0.0,,929.6092,0,,929.6095,0.0,,929.6288,0.0,,929.6095,-0.1875,,929.6288,0,,929.6112,-0.5625,,929.6108,115.125,,929.629,0.0,,929.6109,0.0,,929.6092,0,,929.6093,0.0,,929.6107,0,,929.6107,0.0,,929.6107,1079,,929.6288,0,,929.6111,0.0,,929.6288,32783,,929.6107,0.0,,929.6288,0.0,,929.6109,0,,929.6112,0.0,,929.629,115.25,,929.629,28,,929.6108,28,,929.6093,0.0,,929.6092,0.0,,929.6111,0.0,,929.6108,0.0,,929.6107,0,,929.6111,0.0,,929.6095,1.32421875,,929.6112,0.0,,929.6107,1079,,929.6095,0.0,,929.6288,32783,,929.6093,0.0,,929.6112,0.0,,929.6093,-0.5,,
929.631,-0.625,,929.6291,0,,929.6294,0.0,,929.649,0.0,,929.6294,-0.1875,,929.649,20,,929.6311,-0.5625,,929.6308,115.125,,929.6491,0.0,,929.6309,0.0,,929.6291,0,,929.6292,0.0,,929.6307,0,,929.6307,0.0,,929.6307,1079,,929.649,20,,929.631,0.0,,929.649,527,,929.6307,0.0,,929.649,0.0,,929.6309,0,,929.6311,0.0,,929.6491,115.25,,929.6491,28,,929.6308,28,,929.6292,0.0,,929.6291,0.0,,929.631,0.0,,929.6308,0.0,,929.6307,0,,929.631,0.0,,929.6294,1.30859375,,929.6311,0.0,,929.6307,1079,,929.6294,0.0,,929.649,527,,929.6292,0.0,,929.6311,0.0,,929.6292,-0.5,,
929.6511,0.0,,929.6493,0,,929.6495,0.0,,929.6688,0.0,,929.6495,0.3125,,929.6688,40,,929.6512,-0.0625,,929.6508,115.125,,929.669,0.0,,929.6509,0.0,,929.6493,0,,929.6493,0.0,,929.6507,0,,929.6507,0.0,,929.6507,1079,,929.6688,40,,929.6511,0.0,,929.6688,527,,929.6507,0.0,,929.6688,0.0,,929.6509,0,,929.6512,0.0,,929.669,115.1875,,929.669,28,,929.6508,28,,929.6493,0.0,,929.6493,0.0,,929.6511,0.0,,929.6508,0.0,,929.6507,0,,929.6511,0.0,,929.6495,1.30859375,,929.6512,0.0,,929.6507,1079,,929.6495,0.0,,929.6688,527,,929.6493,0.0,,929.6512,0.0,,929.6493,-0.75,,
929.671,0.5625,,929.6691,0,,929.6693,0.0,,929.6889,0.0,,929.6693,0.3125,,929.6889,60,,929.6711,0.4375,,929.6708,115.125,,929.6891,0.0,,929.6709,0.0,,929.6691,0,,929.6692,0.0,,929.6707,0,,929.6707,0.0,,929.6707,1079,,929.6889,60,,929.671,0.0,,929.6889,527,,929.6707,0.0,,929.6889,0.0,,929.6709,0,,929.6711,0.0,,929.6891,115.25,,929.6891,28,,929.6708,28,,929.6692,0.0,,929.6691,0.0,,929.671,0.0,,929.6708,0.0,,929.6707,0,,929.671,0.0,,929.6693,1.32421875,,929.6711,0.0,,929.6707,1079,,929.6693,0.0,,929.6889,527,,929.6692,0.0,,929.6711,0.0,,929.6692,-0.75,,
