Point;Real time;Power-up time;Asrc;Alod;Apack;Vpack;SOC;DOD;Loads;BalVtg;BalCause;IoState;Flags;Bnk0;Bnk1t;Bnk2;Bnk3;Bnk4;Bnk5;Bnk6;Bnk7;Bnk8;Bnk9;Bnk10;Bnk11;Bnk12;Bnk13;Bnk14;Bnk15;CCL;CCLcause;DCL;DCLcause;WarnFlags;FltFlags;MissBanks;MissBank#;MissCells;-;Vmin;VminNo;VminAvg;Vavg;Vmax;VmaxNo;VmaxAvg;Tmin;TminNo;Tavg;Tmax;TmaxNo;Rmin;RminNo;Ravg;Rmax;RmaxNo;Rpack;Nmonit;Vmonit;Tmonit;TmonitOff;Rmonit;Smonit;Cell 0;Cell 1;Cell 2;Cell 3;Cell 4;Cell 5;Cell 6;Cell 7;Cell 8;Cell 9;Cell 10;Cell 11;Cell 12;Cell 13;Cell 14;Cell 15;Cell 16;Cell 17;Cell 18;Cell 19;Cell 20;Cell 21;Cell 22;Cell 23;Cell 24;Cell 25;Cell 26;Cell 27
10;1/1/2025 16:19;#2376 000:01:46:17;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
11;1/1/2025 16:19;#2376 000:01:46:18;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
12;1/1/2025 16:19;#2376 000:01:46:19;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
13;1/1/2025 16:19;#2376 000:01:46:20;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
14;1/1/2025 16:19;#2376 000:01:46:21;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
15;1/1/2025 16:19;#2376 000:01:46:22;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
16;1/1/2025 16:19;#2376 000:01:46:23;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
17;1/1/2025 16:19;#2376 000:01:46:24;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
18;1/1/2025 16:20;#2376 000:01:46:25;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
19;1/1/2025 16:20;#2376 000:01:46:26;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
20;1/1/2025 16:20;#2376 000:01:46:27;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
21;1/1/2025 16:20;#2376 000:01:46:28;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
22;1/1/2025 16:20;#2376 000:01:46:29;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
23;1/1/2025 16:20;#2376 000:01:46:30;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
24;1/1/2025 16:20;#2376 000:01:46:31;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
25;1/1/2025 16:20;#2376 000:01:46:32;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
26;1/1/2025 16:20;#2376 000:01:46:33;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
27;1/1/2025 16:20;#2376 000:01:46:34;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
28;1/1/2025 16:20;#2376 000:01:46:35;0;0.2;0.2;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.86;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
29;1/1/2025 16:20;#2376 000:01:46:36;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
30;1/1/2025 16:20;#2376 000:01:46:37;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.86;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
31;1/1/2025 16:20;#2376 000:01:46:38;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.86;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
32;1/1/2025 16:20;#2376 000:01:46:39;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
33;1/1/2025 16:20;#2376 000:01:46:40;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
34;1/1/2025 16:20;#2376 000:01:46:41;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
35;1/1/2025 16:20;#2376 000:01:46:59;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
36;1/1/2025 16:20;#2376 000:01:47:00;0;0.2;0.2;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.86;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.86;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84;3.84
37;1/1/2025 16:20;#2376 000:01:47:01;0;0.5;0.5;107.5;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;19;3.81;3.84;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84
38;1/1/2025 16:20;#2376 000:01:47:02;0;4.8;4.8;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;20;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.86;3.81;3.84;3.84;3.81;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84
39;1/1/2025 16:20;#2376 000:01:47:03;0;8.8;8.8;107.4;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;20;3.81;3.83;3.86;14;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.84;3.84;3.84;3.81;3.84;3.84;3.81;3.81;3.81;3.84;3.84;3.84;3.84;3.84;3.84;3.84
40;1/1/2025 16:20;#2376 000:01:47:04;0;10.7;10.7;107.3;79;47;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.81;25;3.81;3.83;3.86;8;3.85;29;26;29;32;0;0;19;0.5;1.1;13;16.2;5;3.84;30;1.1;;7;3.84;3.81;3.86;3.84;3.84;3.84;3.86;3.86;3.86;3.84;3.84;3.84;3.81;3.84;3.84;3.81;3.81;3.84;3.81;3.81;3.81;3.84;3.84;3.84;3.84;3.81;3.84;3.84
