Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),2. statusword  (1),,Time (s),1. controlword - right motor  (1),,Time (s),1. Iq A (0.0625),,
222.236,0.0,,222.236,800,,222.2183,106.0625,,222.2362,0.0,,222.2182,0.0,,222.2361,0.0,,222.2361,43,,222.2381,0,,222.2381,0.0,,222.236,800,,222.2381,1079,,222.236,1039,,222.2381,0.0,,222.236,0.0,,222.2362,27,,222.2183,27,,222.2361,0.0,,222.2362,0.8125,,222.2183,0.0,,222.2381,0,,222.2182,0.0,,222.2381,1079,,222.236,1039,,222.2362,0.6875,,
222.256,0.0,,222.256,800,,222.2383,106.0625,,222.2562,0.0,,222.2382,0.0,,222.2561,0.0,,222.2561,42,,222.2581,0,,222.2581,0.0,,222.256,800,,222.2581,1079,,222.256,1039,,222.2581,0.0,,222.256,0.0,,222.2562,27,,222.2383,27,,222.2561,0.0,,222.2562,2.1875,,222.2383,0.0,,222.2581,0,,222.2382,0.0,,222.2581,1079,,222.256,1039,,222.2562,-1.5625,,
222.276,0.0,,222.276,800,,222.2583,106.0,,222.2762,-0.0625,,222.2582,0.0,,222.2761,0.0,,222.2761,42,,222.2781,0,,222.2781,0.0,,222.276,800,,222.2781,1079,,222.276,1039,,222.2781,0.0,,222.276,0.0,,222.2762,27,,222.2583,27,,222.2761,0.0,,222.2762,2.125,,222.2583,0.0,,222.2781,0,,222.2582,0.0,,222.2781,1079,,222.276,1039,,222.2762,-1.0625,,
222.296,0.0,,222.296,800,,222.2783,106.0625,,222.2962,-0.0625,,222.2782,0.0,,222.2961,0.0,,222.2961,41,,222.2981,0,,222.2981,0.0,,222.296,800,,222.2981,1079,,222.296,1039,,222.2981,0.0,,222.296,0.0,,222.2962,27,,222.2783,27,,222.2961,0.0,,222.2962,0.8125,,222.2783,0.0,,222.2981,0,,222.2782,0.0,,222.2981,1079,,222.296,1039,,222.2962,0.75,,
222.3159,0.0,,222.3159,800,,222.2983,106.0625,,222.3162,-0.0625,,222.2982,0.0,,222.3161,0.0,,222.3161,41,,222.3181,0,,222.3181,0.0,,222.3159,800,,222.3181,1079,,222.3159,1039,,222.3181,0.0,,222.3159,0.0,,222.3162,27,,222.2983,27,,222.3161,0.0,,222.3162,2.125,,222.2983,0.0,,222.3181,0,,222.2982,0.0,,222.3181,1079,,222.3159,1039,,222.3162,-1.375,,
222.3359,0.0,,222.3359,800,,222.3183,106.0625,,222.3362,0.0,,222.3182,0.0,,222.3361,0.0,,222.3361,40,,222.3381,0,,222.3381,0.0,,222.3359,800,,222.3381,1079,,222.3359,1039,,222.3381,0.0,,222.3359,0.0,,222.3362,27,,222.3183,27,,222.3361,0.0,,222.3362,2.4375,,222.3183,0.0,,222.3381,0,,222.3182,0.0,,222.3381,1079,,222.3359,1039,,222.3362,-1.9375,,
222.3559,0.0,,222.3559,800,,222.3383,106.0,,222.3562,-0.0625,,222.3382,0.0,,222.3561,0.0,,222.3561,40,,222.3581,0,,222.3581,0.0,,222.3559,800,,222.3581,1079,,222.3559,1039,,222.3581,0.0,,222.3559,0.0,,222.3562,27,,222.3383,27,,222.3561,0.0,,222.3562,1.125,,222.3383,0.0,,222.3581,0,,222.3382,0.0,,222.3581,1079,,222.3559,1039,,222.3562,0.4375,,
222.3759,0.0,,222.3759,800,,222.3583,106.0625,,222.3762,-0.0625,,222.3582,0.0,,222.3761,0.0,,222.3761,40,,222.3781,0,,222.3781,0.0,,222.3759,800,,222.3781,1079,,222.3759,1039,,222.3781,0.0,,222.3759,0.0,,222.3762,27,,222.3583,27,,222.3761,0.0,,222.3762,1.25,,222.3583,0.0,,222.3781,0,,222.3582,0.0,,222.3781,1079,,222.3759,1039,,222.3762,0.25,,
222.396,0.0,,222.396,800,,222.3783,106.125,,222.3962,-0.0625,,222.3782,0.0,,222.3961,0.0,,222.3961,39,,222.3981,0,,222.3981,0.0,,222.396,800,,222.3981,1079,,222.396,1039,,222.3981,0.0,,222.396,0.0,,222.3962,27,,222.3783,27,,222.3961,0.0,,222.3962,1.5,,222.3783,0.0,,222.3981,0,,222.3782,0.0,,222.3981,1079,,222.396,1039,,222.3962,-0.0625,,
222.4159,0.0,,222.4159,800,,222.3983,106.0625,,222.4161,-0.0625,,222.3982,0.0,,222.416,0.0,,222.416,39,,222.418,0,,222.418,0.0,,222.4159,800,,222.418,1079,,222.4159,1039,,222.418,0.0,,222.4159,0.0,,222.4161,27,,222.3983,27,,222.416,0.0,,222.4161,1.9375,,222.3983,0.0,,222.418,0,,222.3982,0.0,,222.418,1079,,222.4159,1039,,222.4161,-0.875,,
