Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
962.9471,-0.5,,962.9378,0,,962.9381,0.0,,962.9376,0.0,,962.9381,-0.1875,,962.9376,300,,962.9472,-1.125,,962.9469,109.75,,962.9377,0.0,,962.947,0.0,,962.9378,0,,962.938,0.0,,962.9468,0,,962.9468,0.0,,962.9468,1079,,962.9376,300,,962.9471,0.0,,962.9376,527,,962.9468,0.0,,962.9376,0.0,,962.947,0,,962.9472,0.0,,962.9377,109.8125,,962.9377,24,,962.9469,24,,962.938,0.0,,962.9378,0.0,,962.9471,0.0,,962.9469,0.0,,962.9468,0,,962.9471,0.0,,962.9381,1.30859375,,962.9472,0.0,,962.9468,1079,,962.9381,0.0,,962.9376,527,,962.938,0.0,,962.9472,0.0,,962.938,-1.4375,,
962.9671,-1.1875,,962.9578,0,,962.9581,0.0,,962.9576,0.0,,962.9581,-0.3125,,962.9576,300,,962.9673,-0.375,,962.9669,109.75,,962.9577,0.0,,962.967,0.0,,962.9578,0,,962.9579,0.0,,962.9668,0,,962.9668,0.0,,962.9668,1079,,962.9576,300,,962.9671,0.0,,962.9576,527,,962.9668,0.0,,962.9576,0.0,,962.967,0,,962.9673,0.0,,962.9577,109.75,,962.9577,24,,962.9669,24,,962.9579,0.0,,962.9578,0.0,,962.9671,0.0,,962.9669,0.0,,962.9668,0,,962.9671,0.0,,962.9581,1.28125,,962.9673,0.0,,962.9668,1079,,962.9581,0.0,,962.9576,527,,962.9579,0.0,,962.9673,0.0,,962.9579,-0.875,,
962.9871,0.8125,,962.9778,0,,962.978,0.0,,962.9775,0.0,,962.978,-0.875,,962.9775,300,,962.9872,0.0625,,962.9869,109.8125,,962.9776,0.0,,962.987,0.0,,962.9778,0,,962.9779,0.0,,962.9868,0,,962.9868,0.0,,962.9868,1079,,962.9775,300,,962.9871,0.0,,962.9775,527,,962.9868,0.0,,962.9775,0.0,,962.987,0,,962.9872,0.0,,962.9776,109.8125,,962.9776,24,,962.9869,24,,962.9779,0.0,,962.9778,0.0,,962.9871,0.0,,962.9869,0.0,,962.9868,0,,962.9871,0.0,,962.978,1.2734375,,962.9872,0.0,,962.9868,1079,,962.978,0.0,,962.9775,527,,962.9779,0.0,,962.9872,0.0,,962.9779,-0.3125,,
963.0071,-0.75,,962.9978,0,,962.9981,0.0,,962.9975,0.0,,962.9981,-0.75,,962.9975,300,,963.0073,0.0625,,963.0069,109.6875,,962.9977,0.0,,963.007,0.0,,962.9978,0,,962.9979,0.0,,963.0068,0,,963.0068,0.0,,963.0068,1079,,962.9975,300,,963.0071,0.0,,962.9975,527,,963.0068,0.0,,962.9975,0.0,,963.007,0,,963.0073,0.0,,962.9977,109.8125,,962.9977,24,,963.0069,24,,962.9979,0.0,,962.9978,0.0,,963.0071,0.0,,963.0069,0.0,,963.0068,0,,963.0071,0.0,,962.9981,1.2734375,,963.0073,0.0,,963.0068,1079,,962.9981,0.0,,962.9975,527,,962.9979,0.0,,963.0073,0.0,,962.9979,-0.3125,,
963.0271,-1.0625,,963.0178,0,,963.0181,0.0,,963.0176,0.0,,963.0181,-0.5,,963.0176,300,,963.0272,-0.9375,,963.0269,109.75,,963.0177,0.0,,963.027,0.0,,963.0178,0,,963.018,0.0,,963.0268,0,,963.0268,0.0,,963.0268,1079,,963.0176,300,,963.0271,0.0,,963.0176,527,,963.0268,0.0,,963.0176,0.0,,963.027,0,,963.0272,0.0,,963.0177,109.8125,,963.0177,24,,963.0269,24,,963.018,0.0,,963.0178,0.0,,963.0271,0.0,,963.0269,0.0,,963.0268,0,,963.0271,0.0,,963.0181,1.25390625,,963.0272,0.0,,963.0268,1079,,963.0181,0.0,,963.0176,527,,963.018,0.0,,963.0272,0.0,,963.018,-0.3125,,
963.047,-0.5,,963.0377,0,,963.038,0.0,,963.0375,0.0,,963.038,-0.5,,963.0375,300,,963.0471,-1.125,,963.0468,109.75,,963.0376,0.0,,963.0469,0.0,,963.0377,0,,963.0379,0.0,,963.0466,0,,963.0466,0.0,,963.0466,1079,,963.0375,300,,963.047,0.0,,963.0375,527,,963.0466,0.0,,963.0375,0.0,,963.0469,0,,963.0471,0.0,,963.0376,109.875,,963.0376,24,,963.0468,24,,963.0379,0.0,,963.0377,0.0,,963.047,0.0,,963.0468,0.0,,963.0466,0,,963.047,0.0,,963.038,1.26171875,,963.0471,0.0,,963.0466,1079,,963.038,0.0,,963.0375,527,,963.0379,0.0,,963.0471,0.0,,963.0379,-0.3125,,
963.0671,-0.75,,963.0578,0,,963.058,0.0,,963.0576,0.0,,963.058,-0.1875,,963.0576,300,,963.0672,0.0625,,963.0669,109.6875,,963.0576,0.0,,963.067,0.0,,963.0578,0,,963.0579,0.0,,963.0667,0,,963.0667,0.0,,963.0667,1079,,963.0576,300,,963.0671,0.0,,963.0576,527,,963.0667,0.0,,963.0576,0.0,,963.067,0,,963.0672,0.0,,963.0576,109.8125,,963.0576,24,,963.0669,24,,963.0579,0.0,,963.0578,0.0,,963.0671,0.0,,963.0669,0.0,,963.0667,0,,963.0671,0.0,,963.058,1.26171875,,963.0672,0.0,,963.0667,1079,,963.058,0.0,,963.0576,527,,963.0579,0.0,,963.0672,0.0,,963.0579,-2.3125,,
963.0871,-0.5,,963.0778,0,,963.0781,0.0,,963.0775,0.0,,963.0781,-0.875,,963.0775,300,,963.0872,-1.125,,963.0868,109.75,,963.0777,0.0,,963.087,0.0,,963.0778,0,,963.0779,0.0,,963.0868,0,,963.0868,0.0,,963.0868,1079,,963.0775,300,,963.0871,0.0,,963.0775,527,,963.0868,0.0,,963.0775,0.0,,963.087,0,,963.0872,0.0,,963.0777,109.8125,,963.0777,24,,963.0868,24,,963.0779,0.0,,963.0778,0.0,,963.0871,0.0,,963.0868,0.0,,963.0868,0,,963.0871,0.0,,963.0781,1.28125,,963.0872,0.0,,963.0868,1079,,963.0781,0.0,,963.0775,527,,963.0779,0.0,,963.0872,0.0,,963.0779,-0.75,,
963.1071,0.6875,,963.0977,0,,963.098,0.0,,963.0975,0.0,,963.098,0.3125,,963.0975,300,,963.1072,0.6875,,963.1069,109.75,,963.0976,0.0,,963.107,0.0,,963.0977,0,,963.0978,0.0,,963.1067,0,,963.1067,0.0,,963.1067,1079,,963.0975,300,,963.1071,0.0,,963.0975,527,,963.1067,0.0,,963.0975,0.0,,963.107,0,,963.1072,0.0,,963.0976,109.8125,,963.0976,24,,963.1069,24,,963.0978,0.0,,963.0977,0.0,,963.1071,0.0,,963.1069,0.0,,963.1067,0,,963.1071,0.0,,963.098,1.24609375,,963.1072,0.0,,963.1067,1079,,963.098,0.0,,963.0975,527,,963.0978,0.0,,963.1072,0.0,,963.0978,-1.75,,
963.127,-0.1875,,963.1177,0,,963.118,0.0,,963.1175,0.0,,963.118,0.0625,,963.1175,300,,963.1271,-0.125,,963.1267,109.75,,963.1176,0.0,,963.1268,0.0,,963.1177,0,,963.1179,0.0,,963.1266,0,,963.1266,0.0,,963.1266,1079,,963.1175,300,,963.127,0.0,,963.1175,527,,963.1266,0.0,,963.1175,0.0,,963.1268,0,,963.1271,0.0,,963.1176,109.8125,,963.1176,24,,963.1267,24,,963.1179,0.0,,963.1177,0.0,,963.127,0.0,,963.1267,0.0,,963.1266,0,,963.127,0.0,,963.118,1.23828125,,963.1271,0.0,,963.1266,1079,,963.118,0.0,,963.1175,527,,963.1179,0.0,,963.1271,0.0,,963.1179,-1.4375,,
